PMF_m/z	HOA	BBOA	OOA1_BB	OOA2_BB-aq
12	0.00189377	0.007385526	0.00987732	0.00470926
13.0034	2.09364E-05	7.99878E-05	0.000106069	0.000051608
13.0078	0.000791776	0.004610167	0.00292647	0.00387789
14.0112	8.52756E-06	4.98818E-05	3.21178E-05	4.15972E-05
15.0235	0.00814455	0.031320017	0.0264467	0.027567
15.9949	0.000132158	0.000404914	0.00129417	0.000566757
16.0268	0.000088502	0.000337118	0.000288231	0.000299074
17.0027	0.000826156	0.002530726	0.00808832	0.00354231
17.9992	2.64727E-07	8.32424E-07	2.66543E-06	1.20164E-06
18.0106	0.0033046	0.010122896	0.0323532	0.0141693
24	0.00023186	0.001190592	0.000866389	0.000719917
25.0034	5.07131E-06	2.5875E-05	1.91752E-05	1.51475E-05
25.0078	0.000898008	0.004295587	0.00291458	0.00292418
26.0156	0.00578313	0.020986026	0.0156527	0.0153153
27.0109	0.000972034	0.004657938	0.00610405	0.00141186
27.019	0.000124231	0.00045729	0.000342276	0.000325779
27.0235	0.0235367	0.03833704	0.0358091	0.0354174
27.9949	0.0146861	0.044992223	0.143785	0.0629804
28.9983	0.00015872	0.00048681	0.00155431	0.000681869
29.0027	9.48855E-09	0.046961774	0.00331086	0.100136
29.0391	0.0280777	0.021163368	0.0204568	0.0227607
29.9992	3.02733E-05	9.2415E-05	0.000294863	0.000129904
30.0061	4.01184E-10	0.000524326	2.17535E-05	0.00110121
30.0425	0.000601499	0.000465511	0.000435394	0.000502161
31.0139	9.43386E-06	0.000181879	0.000460861	0.000646518
31.0184	0.00252112	0.020456748	0.00840827	0.0364707
32.0262	4.19146E-07	4.17397E-07	3.25027E-07	3.98864E-07
36	0.000227923	0.000827596	3.19232E-09	0.00173539
37.0033	4.18376E-06	2.47189E-05	3.69663E-09	8.34436E-05
37.0078	0.00139848	0.004716365	0.00369325	0.0029082
38.0112	4.41256E-05	0.000153979	0.000117622	9.64067E-05
38.0157	0.00273313	0.008155217	0.00614033	0.00514922
39.019	8.76513E-05	0.000265172	0.000197206	0.000168984
39.0235	0.0207546	0.040736782	1.38212E-08	0.00515221
40.0268	0.000674329	0.001252645	0.000229793	0.000227039
40.0313	0.00396948	0.009196849	0.00557384	0.00764978
41.0027	1.0302E-10	0.002853012	6.96721E-11	1.42792E-10
41.0347	0.000129472	0.000303744	0.000177387	0.00024265
41.0391	0.072859	0.042444554	0.0312619	0.0351433
42.0061	2.89203E-09	6.61757E-05	1.65148E-06	1.45992E-05
42.0106	0.00304963	0.017143852	0.0192646	0.0159217
42.0344	0.00341722	0.004246161	0.0109222	0.00575241
42.0425	0.0022968	0.001421234	0.000993418	0.00114398
42.047	0.0105241	0.007161565	0.00540454	0.00568668
43.0139	6.70336E-05	0.000371552	0.000414535	0.000346487
43.0184	0.0104203	0.048843262	0.0671397	0.0884019
43.0503	0.000335424	0.000236889	0.000171257	0.00018772
43.0548	0.087896	0.024741411	0.014972	0.0163275
43.9898	0.0146861	0.044992223	0.143785	0.0629804
44.0217	0.000224511	0.00105637	0.00145264	0.00191417
44.0262	0.00177636	0.008055445	0.00485152	0.00701739
44.05	0.00248026	0.002021869	0.00508272	0.00151324
44.0581	0.00275263	0.000851217	0.000498775	0.000492695
44.0626	3.72698E-05	8.77704E-11	1.18503E-10	1.53719E-10
44.9932	0.00015872	0.00048681	0.00155431	0.000681869
44.9977	0.000347093	0.004176535	0.0100227	0.0141415
45.0215	0.000158967	6.1498E-05	0.00227236	0.00140414
45.034	0.00239978	0.008674411	0.00524761	0.00914985
45.0578	0.000359473	0.000414768	0.00125285	0.000597382
45.066	3.72687E-06	5.57856E-08	8.28909E-08	1.42511E-07
45.9941	6.03105E-05	0.000184983	0.000590625	0.00025911
46.0374	5.14742E-05	0.000187424	0.000113891	0.000199647
46.9955	2.42854E-10	0.000166673	0.00370633	0.00206364
47.0133	1.55564E-05	0.003759417	7.53792E-05	0.00872913
48	2.08912E-10	0.000212108	0.00191419	1.54662E-10
49.0033	2.35596E-10	4.52329E-06	0.000105249	7.91268E-11
49.0078	0.000324466	0.001430405	0.000945172	0.000816921
49.0289	1.41401E-05	7.15064E-05	8.43332E-05	0.00016934
50.0112	1.36009E-05	6.2117E-05	4.04816E-05	3.63005E-05
50.0157	0.00264925	0.007836588	0.00582694	0.00429652
51.019	0.00011464	0.000339035	0.000251993	0.000186015
51.0235	0.00466477	0.011590143	0.00714657	0.00587252
52.0187	0.000191478	0.000838903	0.00141738	0.000585846
52.0268	0.000202091	0.000501519	0.000309075	0.000253921
52.0313	0.00218594	0.006597373	0.00375106	0.00293406
53.0027	0.000497924	0.003536925	0.00410487	0.00426154
53.0347	9.44459E-05	0.000285555	0.000162194	0.000126993
53.0391	0.0087501	0.011154955	0.00775938	0.00852953
54.0061	1.41426E-05	0.000116382	0.000133031	0.00013754
54.0106	0.000119321	0.002790302	0.00339508	0.00482559
