PMF_m/z	HOA	OOA1	OOA2
12	0.00383659	0.00518424	0.008200288
13.0034	4.74181E-05	6.21483E-05	7.89373E-05
13.0078	0.00180692	0.00291243	0.00372958
15.0235	0	0.022005	0.033748193
15.9949	0.000226965	0.000445811	0.000509958
17.0027	0.00175354	0.00442011	0.005411367
17.9992	0	9.29359E-07	1.11676E-06
18.0106	0.00762301	0.0203887	0.024639399
24	0.0004227	0.000744126	0.00085372
25.0078	0.00179731	0.00271159	0.003161815
26.0156	0.0119757	0.0148867	0.015300019
27.0109	0.00285786	0.0016639	0.003002722
27.019	0.000280388	0.000325159	0.000314768
27.0235	0	0.0403774	0.042004971
27.9949	0.0370659	0.0903505	0.108992784
28.9983	0.000363007	0.000966046	0.001198507
29.0027	0	0.0358115	0.014156806
29.0391	0.0346631	0.0234463	0.016159785
29.9992	7.05863E-05	0.000188314	0.000219675
30.0061	0	0.000378999	0.00020565
30.0106	0	0.00631535	0.014570678
30.0425	0	0.000486399	0.000493315
30.0469	0.00179681	0.000241134	0.000416986
31.0184	0.00593577	0.0149617	0.017870905
31.0422	0	0	0.000650621
31.0503	4.48591E-05	3.2769E-06	1.11561E-05
33.014	0	6.63081E-05	0.000123362
36	0.000246956	0.000444761	0.000429093
37.0078	0.00259916	0.00305316	0.003588786
38.0112	0.000101969	0.000100708	0.000109663
38.0157	0.00480591	0.00555541	0.006123524
39.019	0.000189746	0.000178383	0.000190419
39.0235	0	0.0344193	0.029905753
40.0268	0.00113247	0.00105449	0.00092972
40.0313	0.00666341	0.00797945	0.007372409
41.0027	0.000668294	0.00324599	0.00406429
41.0266	0	1.27113E-05	0.003723046
41.0347	0.000216939	0.000254496	0.000244033
41.0391	0.0821814	0.0370408	0.029506763
42.0106	0.00591193	0.021883	0.023050995
42.0344	0	0.00127433	0.004550358
42.0425	0	0.00121972	0.0013387
42.047	0.0151487	0.00646738	0.004631329
43.0058	0	0	0.005689002
43.0139	0.000123563	0.000471946	0.000498094
43.0184	0.04416	0.102499	0.090671739
43.0503	0.000475974	0.000205357	0.000151094
43.0548	0.0712032	0.00889872	0.007852589
43.9898	0.0338789	0.0905115	0.110229073
44.0217	0.000773789	0.00225031	0.00194391
44.0262	0.00188625	0.00897794	0.004050778
44.05	0	0	0.002476058
44.0581	0.00202486	0.00027168	0.000298565
44.9799	0	0	0.000653945
44.9932	0.000363007	0.000968246	0.001179106
44.9977	0.00167982	0.0125563	0.013175365
45.0215	0	0.0010991	0.001768536
45.034	0.002622	0.00640897	0.004793638
45.9941	0.000137915	0.000366177	0.00044641
46.0055	0	0.00234953	0.002934128
46.0374	5.68358E-05	0.000140006	0.000108331
46.0419	0.00004804	0.00027637	0.000174762
47.0133	0.000233264	0.000964516	0.001334386
47.0452	8.99375E-07	5.45519E-06	4.5516E-06
48	0.000148863	0	0.000520736
49.0078	0.000553164	0.000731763	0.000894415
49.0289	0	7.47566E-05	7.46932E-05
50.0112	2.40606E-05	3.19348E-05	3.87005E-05
50.0157	0.00413997	0.00429358	0.004580563
51.019	0.00017902	0.000187024	0.000196349
51.0235	0	0.0060123	0.007040213
51.9949	0.000076184	0.000151648	0.000253211
52.0268	0.000290664	0.000259997	0.000261393
52.0313	0.00308031	0.00350484	0.003366711
53.0027	0.00104293	0.0022043	0.002909678
53.0347	0.000133318	0.000149247	0.000148826
53.0391	0.0109842	0.0101198	0.00859567
54.0061	3.38819E-05	7.21141E-05	9.45713E-05
54.0106	0.000757453	0.00230482	0.003036244
54.0344	0	0.000554051	0.001115482
54.0425	0	0.000430799	0.000457429
54.047	0.0100948	0.00394912	0.003052704
55.0139	2.45033E-05	7.54838E-05	9.97001E-05
55.0184	0.0124154	0.0232322	0.020104214
55.0503	0.000405724	0.000169261	0.000139042
55.0548	0.070404	0.0143596	0.010229643
55.9898	0.000083834	0.000222381	0.000544076
56.0217	0.0003967	0.000750287	0.000652263
56.0262	0.00152218	0.00536338	0.004649292
56.05	0	0.000287002	0.001530085
56.0581	0.00277764	0.000618383	0.000483915
56.0626	0.0175915	0.00263338	0.002042811
57.0296	4.93331E-05	0.000173972	0.000151069
57.034	0.00437403	0.0120752	0.008218205
57.066	0.000709478	0.000120622	8.6656E-05
57.0704	0.0599977	0.000981239	0.002387712
58.0055	0	0.0011194	0.001785301
58.0293	0	0.000169191	0.000998282
58.0374	0.000143484	0.000392161	0.000264243
58.0419	0.00328493	0.00607411	0.00438347
58.0657	0	0	0.001069535
58.0738	0.00218632	4.74887E-05	0.000159088
59.0133	0.000381516	0.0010824	0.001229445
59.0371	0	9.04745E-05	0.000974305
59.0452	0.000108029	0.000196516	0.000145085
59.0497	0.00129222	0.00525526	0.003349653
59.0771	0	3.63006E-07	7.92117E-06
59.967	7.44353E-05	5.99359E-05	8.03435E-05
60.0211	0.00344498	0.00395942	0.004310767
60.053	4.25435E-05	0.00016553	0.000114354
60.9926	0	5.52951E-06	5.72698E-05
61.0078	0.00032006	0.000366697	0.000525375
61.0289	0.0011505	0.0010961	0.001453995
62.0112	1.92881E-05	2.05017E-05	2.80023E-05
62.0157	0.000975474	0.000953094	0.000821498
63.0082	0	0	0.000435395
63.019	5.23358E-05	0.000055065	4.37417E-05
63.0235	0	0.00229952	0.001941091
63.032	0	0	0.000549763
64.0268	0.000144305	0.000127113	8.09455E-05
64.0313	0	0.000805197	0.000309788
65.0027	0	0	0.000407005
65.0347	0	4.19346E-05	2.35697E-05
65.0391	0.00600037	0.00459394	0.004228074
66.0061	0	0	2.12798E-05
66.0106	0.000215016	0.00038325	0.000455985
66.0425	0	0.000249996	0.000276979
66.047	0.00233545	0.00227491	0.001923319
67.0139	9.85399E-06	1.55258E-05	2.21112E-05
67.0184	0.000305487	0.000727033	0.001407866
67.0548	0.0273047	0.00926099	0.007378623
67.9898	6.21831E-05	0.000148887	0.000291632
68.0136	0	3.36071E-05	0.000589791
68.0217	1.38396E-05	3.19688E-05	6.24912E-05
68.0262	0.00107358	0.00300685	0.002751672
68.05	0	0.000294874	0.000854577
68.0581	0.00142132	0.000503792	0.000403172
68.0626	0.006979	0.00240904	0.001610042
68.9977	0.000667853	0.00238874	0.00299202
69.0296	4.64065E-05	0.000128113	0.000123949
69.034	0.00169074	0.00631775	0.005541628
69.066	0.000356367	0.000130834	8.76515E-05
69.0704	0.0354914	0.00505482	0.004591781
70.0055	0	0.000797835	0.001249458
