PMF_m/z	HOA	BBOA	OOA1	OOA2_BB-aq	OOA3_BB
12	0.00250825	0.003954797	0.00601801	0.00389039	0.00998505
13.0034	2.76136E-05	4.17758E-05	6.56619E-05	4.41696E-05	0.000104324
13.0078	0.00143934	0.002773987	0.00276733	0.00204282	0.00397125
15.0235	0.0127732	0.027113041	0.0156101	0.0273415	0.0262037
15.9949	0.000190815	0.000232726	0.00101312	0.000760659	0.00108819
17.0027	0.00120349	0.001446062	0.00635328	0.00476935	0.00676722
17.9992	3.51081E-07	5.12613E-07	1.99293E-06	1.54823E-06	2.26518E-06
18.0106	0.00481466	0.005783768	0.0254131	0.0190774	0.0270687
24	0.000345414	0.00064728	0.000740712	0.000387294	0.0010016
25.0078	0.00136412	0.002442565	0.00255812	0.00154041	0.00356231
26.0156	0.00784399	0.013324466	0.0133229	0.00893271	0.017286
27.019	0.000176568	0.000282594	0.00029076	0.000194715	0.000380337
27.0235	0.0264792	0.033785978	0.0311141	0.027493	0.0376863
27.9949	0.02141	0.025696111	0.112948	0.0848024	0.120292
28.9983	0.000242324	0.000271811	0.00123014	0.000923295	0.00129612
29.0027	0.0230632	0.051508062	0.0164245	0.0645888	0.069342
29.0391	0.0275198	0.020466202	0.0163845	0.021804	0.0162678
29.9992	4.27622E-05	5.30989E-05	0.000230609	0.000173666	0.000250595
30.0061	8.98842E-05	0.000325334	0.00038712	0.000646881	0.000236439
30.0425	0.00059126	0.000447122	0.000363768	0.000463858	0.000357612
30.0469	0.00276545	0.001704606	0.00492414	0.00247302	0.00184813
31.0139	7.24529E-05	4.73449E-05	0.000150298	0.000690433	0.000270807
31.0184	0.00716747	0.018229648	0.00592846	0.0244394	0.0162238
31.0503	8.25543E-05	4.88484E-05	8.23145E-05	3.95718E-05	5.32674E-05
33.014	0	4.79113E-05	0	0.000226885	0
36	0.000598633	0.000904446	0	0.00195698	0.000262077
37.0033	0.000021006	3.6777E-05	0	6.51795E-05	9.45837E-06
37.0078	0.00175241	0.003108651	0.00308799	0.00153991	0.00373059
38.0112	5.75068E-05	0.000100412	9.98215E-05	0.000050364	0.000121623
38.0157	0.00320203	0.005907994	0.00528393	0.00297282	0.00639341
39.019	0.000104207	0.000190617	0.000171719	9.70587E-05	0.000207518
39.0235	0.0251194	0.03208185	0.0266468	0.0166677	0.0330252
40.0268	0.00081423	0.001036238	0.000874532	0.000545016	0.00106497
40.0313	0.00478643	0.006488717	0.00893031	0.00412665	0.00659763
41.0027	0.000523588	0.001667879	0.00536637	0.00139721	0.00375482
41.0347	0.000155487	0.000212419	0.000279084	0.000130435	0.000225337
41.0391	0.0649185	0.040475204	0.0337964	0.0265714	0.032819
42.0106	0.00483162	0.013478714	0.0186746	0.0127336	0.01828
42.0344	0.00302704	0.003745849	0.006393	0.00420347	0.00162088
42.0425	0.0020999	0.001308624	0.00110947	0.000867318	0.00106247
42.047	0.0106851	0.007471142	0.00593276	0.00379663	0.00628769
43.0139	0.00010299	0.00029608	0.000395234	0.000270517	0.000404954
43.0184	0.0213292	0.044495822	0.0611626	0.092871	0.0699327
43.0422	0	0.000533204	0	0.00929021	0.00130233
43.0503	0.000342112	0.000243384	0.000197392	0.000120959	0.000206677
43.0548	0.0679115	0.02113641	0.0145855	0.0127848	0.00522513
43.9816	0	1.72328E-06	0	7.40282E-06	0
43.9898	0.02141	0.025696111	0.112948	0.0848024	0.120292
44.0217	0.000480199	0.00096447	0.00131328	0.00200682	0.00150635
44.0262	0.00477116	0.008780727	0.00301626	0.0141225	0.00371958
44.0581	0.00220176	0.000686978	0.000486191	0.00041455	0.000166422
44.0626	0.00141649	0.001183841	0.00311641	0.00162856	0.000412663
44.9932	0.000242324	0.000271808	0.00123014	0.000923295	0.00129612
44.9977	0.00178863	0.003080712	0.00866928	0.012844	0.0106377
45.034	0.00380582	0.009927496	0.00490533	0.0121771	0.00469705
45.066	4.03588E-05	4.05183E-05	0.000100992	5.36813E-05	1.94603E-05
45.9941	9.20941E-05	0.000103282	0.000467461	0.000350852	0.00049252
46.0374	7.96291E-05	0.000217833	0.000101843	0.000261482	0.000104204
47.0133	0.00105723	0.003212197	0	0.00798044	0.0013635
49.0078	0.000477565	0.000877831	0.000769767	0.00047172	0.000944626
49.0289	4.10322E-05	0.00010034	7.28286E-05	0.000227046	0.000096683
50.0112	0.000020584	3.79408E-05	0.000033015	2.05876E-05	4.12052E-05
50.0157	0.00301087	0.005634379	0.0046448	0.00237054	0.00490127
51.019	0.000130306	0.000243642	0.000201484	0.000102487	0.000212073
51.0235	0.00463119	0.009523724	0.006587	0.00359266	0.00654468
51.9949	6.02294E-05	0.000116002	0.000446871	9.35619E-05	0.000280858
52.0187	0	0.000246741	0.0017401	0.000639009	0
52.0268	0.000200223	0.000412194	0.000284877	0.000155154	0.000283441
52.0313	0.00220705	0.00530549	0.00356204	0.00155947	0.00387615
53.0027	0.000885234	0.003099162	0.00294972	0.00328239	0.00297066
53.0347	9.53185E-05	0.000229614	0.000153939	6.73485E-05	0.000168064
53.0391	0.00833644	0.009692379	0.0079442	0.00548696	0.00927988
54.0061	2.81573E-05	0.000101186	9.46269E-05	0.000106047	9.73918E-05
54.0106	0.000747316	0.001984667	0.00260935	0.00318201	0.00284942
54.0344	0	0.000434571	0.00183125	0.00133684	0
54.0425	0.000360938	0.000418769	0.000343327	0.000237625	0.000401801
54.047	0.00698659	0.006172565	0.00355123	0.00123676	0.00448822
55.0139	2.50196E-05	6.37777E-05	8.47277E-05	0.00010353	9.41603E-05
55.0184	0.0059572	0.017318949	0.0166506	0.016786	0.0164821
55.0503	0.000302833	0.000265901	0.000153259	5.25661E-05	0.000197236
55.0548	0.0602274	0.024521192	0.0166896	0.016092	0.0126359
56.0217	0.000204094	0.00056413	0.000538128	0.000540363	0.000536789
56.0262	0.00183542	0.0067247	0.003679	0.00471259	0.00405164
56.05	0	0.001152435	0.00121623	0.00183534	0
56.0581	0.0026124	0.001055755	0.000725975	0.000699288	0.00054762
56.0626	0.0155826	0.004748559	0.004644	0.00226233	0.00310791
57.0296	6.12161E-05	0.000219285	0.000118051	0.000152276	0.000131875
57.034	0.00491842	0.017805842	0.00625233	0.0162274	0.00790217
57.066	0.00067695	0.000203228	0.000203095	0.000100028	0.000133556
57.0704	0.0628204	0.011826035	0.0102503	0.0104653	0.000662757
58.0055	0.00048428	0.001342169	0.00157561	0.00266185	0.00199429
58.0293	2.34034E-05	0.000157677	0.000473935	0.000726634	0
58.0374	0.000149421	0.000585464	0.000204065	0.00052169	0.000258313
58.0419	0.00115909	0.001954331	0.00318234	0.00347423	0.00354609
58.0657	0.00199454	0.001502351	0.00199253	0.00268301	0.000125347
58.0738	0.00271666	0.000518859	0.000442528	0.000450301	2.63329E-05
58.0783	0.000619015	3.57507E-05	0.00019353	0	0
59.0133	0.000642221	0.001422954	0	0.00306488	0.00169005
59.0371	1.04127E-05	0.000399664	0.000895953	0.000906498	6.73969E-05
59.0452	3.93771E-05	6.31571E-05	0.000103644	0.000112635	0.000115276
59.0497	0.00113715	0.001210774	0.00234581	0.00295307	0.00241755
59.0735	0.000211736	0.000242335	0.000195761	0.000752627	8.60824E-05
59.0771	4.39963E-05	8.37624E-06	7.19862E-06	7.38146E-06	3.19911E-07
59.0816	2.71995E-05	4.60467E-06	1.44485E-05	0	5.19029E-07
60.0211	0.00645992	0.023353062	0	0.0117519	0.00459364
60.0449	0.00111639	0.002406184	0	0.00162886	0.000429131
60.053	3.79185E-05	3.94892E-05	7.98562E-05	9.61953E-05	7.81927E-05
61.0078	0.000262398	0.000376545	0.000612526	0.000133795	0.000394352
61.0289	0.00121317	0.004094881	0.00141713	0.00338748	0.00128721
62.0112	0.000014582	2.01299E-05	3.30441E-05	7.76373E-06	2.15847E-05
62.0157	0.000826451	0.001815968	0.0013612	0.000859436	0.00119381
62.0368	0.000125268	0.000372834	0.000177221	0.000257581	0.000153719
63.019	4.47945E-05	9.78244E-05	7.38371E-05	4.68742E-05	6.51214E-05
63.0235	0.00219129	0.004871838	0.00297864	0.00216005	0.00276874
64.0268	0.000118015	0.000263448	0.000162154	0.000116857	0.000150565
64.0313	0.000616262	0.001807997	0.000653627	0.000759917	0.000795743
65.0027	0	3.38972E-06	0.000926018	0.000122764	0.00036522
65.0347	3.27426E-05	9.77974E-05	3.70081E-05	4.05194E-05	4.42125E-05
65.0391	0.00439933	0.00707837	0.00438827	0.00265924	0.004652
66.0061	0	1.41998E-06	3.52252E-05	5.19895E-06	1.98728E-05
66.0106	0.000160755	0.000741454	0.000672717	0.000665894	0.000526097
66.0425	0.000237765	0.000382881	0.000237563	0.000143692	0.000251876
66.047	0.00187083	0.003039591	0.0023197	0.00102367	0.00221773
67.0139	6.74576E-06	3.26344E-05	2.86328E-05	2.83915E-05	2.33536E-05
67.0184	0	0.000792962	0.00224586	0.00127387	0.000586623
67.0548	0.0231889	0.012897241	0.00739492	0.00562996	0.00943965
67.9898	2.37516E-05	4.21475E-05	0.000746365	0.000129262	0.000337991
68.0217	0	3.60951E-05	9.73152E-05	5.35158E-05	2.78525E-05
68.0262	0.000935068	0.003577521	0.00347289	0.00324749	0.00303693
68.0581	0.00125926	0.00069234	0.000401267	0.000305305	0.000513173
68.0626	0.0060426	0.004419886	0.0029041	0.00139631	0.00258564
68.9977	0.000619195	0.001427966	0.00179082	0.00282982	0.00249774
69.0296	4.13605E-05	0.000154727	0.000150768	0.000140353	0.000131965
69.034	0.00092969	0.006039215	0.00496016	0.00644003	0.00421032
69.066	0.000326927	0.000238819	0.000156811	7.50862E-05	0.000140834
69.0704	0.0373199	0.012644627	0.0065944	0.00788577	0.00463849
70.0055	0.000199594	0.000301484	0.00144525	0.000938006	0.000797845
70.0374	4.15091E-05	0.000261339	0.00021402	0.000279061	0.000181769
70.0419	0.000966345	0.003480865	0.0025117	0.00281508	0.00233576
70.0738	0.00202148	0.000685729	0.000357164	0.000425722	0.000250184
70.0782	0.00755646	0.002836253	0.00228228	0.00135048	0.000932062
71.0133	0.000805889	0.003396005	0.00333682	0.00477787	0.00299999
71.0452	4.32391E-05	0.000150192	0.000108826	0.000122192	0.0001007
71.0497	0.00114004	0.003003508	0.00355383	0.00556698	0.00386023
71.0816	0.000416588	0.000151304	0.000131398	7.56257E-05	4.58042E-05
71.0861	0.0267945	0.004337467	0.00363057	0.00400311	0
72.0211	0.000317509	0.001262352	0.00100182	0.00182842	0.00106837
72.0436	2.94493E-05	0.000243897	0.000837843	0.000400722	2.20632E-05
72.053	5.11756E-05	0.000129257	0.00015502	0.000241336	0.000166052
72.0575	0.000330209	0.000341821	0.000876122	0.000942619	0.000642254
72.0894	0.00145251	0.000237016	0.00019357	0.000215042	0
72.0939	0.000153023	0.000170257	0.000140182	0.000119996	3.32404E-05
73.029	0.0025715	0.010871983	0.00162534	0.00692579	0.00304093
73.0473	0.00065143	0.00206937	0.00164185	0.000895928	0.00104024
73.0609	1.49661E-05	1.4901E-05	3.75014E-05	4.08634E-05	2.81439E-05
73.0653	4.51895E-05	0.000304074	0	0.000668291	0.000105766
73.0973	1.01643E-05	1.03128E-05	6.07964E-06	5.63949E-06	3.43737E-06
74.0156	0.000681031	0.001029583	0.00131778	0.000637505	0.000766571
74.0368	0.000961795	0.002435899	0.00113228	0.002538	0.00129502
74.0687	8.36538E-06	1.52211E-05	0	2.83855E-05	5.45228E-06
75.0082	0	0	0.000226187	0.000130385	0
75.019	0.000044133	6.70615E-05	8.54421E-05	4.11432E-05	5.00048E-05
75.0235	0.000790385	0.001542668	0.00105254	0.000934967	0.000791468
75.0446	0.000277961	0.00066071	0.000564511	0.000636241	0.000444027
76.016	0	0	0.000879624	0.000810038	0.000236089
76.0268	5.10987E-05	0.000100757	6.82042E-05	6.02707E-05	5.16947E-05
76.0313	0.00101503	0.002111459	0.001363	0.00106689	0.0012793
76.0524	0.000147486	0.000338212	0.000273721	0.000187024	0.000108679
77.0027	0	6.30993E-05	0.00102743	0	0
77.0347	6.80851E-05	0.000137892	8.97673E-05	6.82902E-05	0.000082945
77.0391	0.00590033	0.008346922	0.00504701	0.00350922	0.00535317
77.0603	0.000952577	0.001659541	0.000590575	0.000544264	0.000882227
78.0061	0	4.88572E-06	5.36697E-05	0	1.56291E-06
78.0106	0	0.000106665	0.000558548	0.00011061	0
78.0425	0.000383465	0.000541359	0.000327559	0.000227497	0.000347891
78.047	0.00221144	0.003795741	0.00210359	0.000584286	0.00220151
78.9854	0.000151945	4.03201E-06	0.00065928	0.000808553	0.000299298
79.0139	0	7.2133E-06	3.03547E-05	5.97152E-06	0
79.0184	0	0.000439402	0.00149417	0.000345487	0
79.0548	0.0112487	0.008806629	0.00493495	0.00368542	0.00708527
79.9898	4.62101E-06	0	0.0067698	0	0.0055623
80.0217	0	2.56423E-05	7.83505E-05	1.84356E-05	1.0059E-06
80.0581	0.000729148	0.000569091	0.000322276	0.000239851	0.000461606
80.0626	0.00255284	0.002304236	0.00183285	0.000774939	0.00148002
80.9977	0.000100336	0	0.00321486	0.000578379	0.00268334
81.034	0.000123262	0.003290553	0.00315663	0.00175983	0.00158514
81.066	0.000165913	0.000149221	0.000118981	5.01083E-05	9.68872E-05
81.0704	0.0206368	0.008533118	0.00376044	0.00477226	0.00468233
82.0055	0.000155597	0.0002591	0.000552735	0.00104252	0.000548061
82.0374	8.89215E-06	0.000176962	0.000170258	9.58503E-05	8.59382E-05
82.0419	0.000543482	0.001974991	0.00264567	0.00162214	0.0018263
82.0738	0.00133878	0.000555111	0.000242355	0.000307772	0.000305935
82.0782	0.00461852	0.002636985	0.00150868	0.00102607	0.00122594
83.0133	0.000289983	0.000557299	0.000932481	0.00166085	0.00103483
83.0452	2.97196E-05	0.00010675	0.000145885	8.78549E-05	9.87353E-05
83.0497	0.000853448	0.002227889	0.00325148	0.00356769	0.00322083
83.0816	0.00029991	0.000170826	9.91252E-05	6.65663E-05	8.00798E-05
83.0861	0.0192142	0.005318268	0.0029112	0.00347102	0.00111082
84.0211	0.000356967	0.001167107	0.00144034	0.00161873	0.00122985
84.053	4.88051E-05	0.000118894	0.000176511	0.000193883	0.000173851
84.0575	0.000804203	0.001634108	0.00156431	0.0013561	0.00114496
84.0894	0.00124849	0.000344991	0.000188527	0.000225622	7.13933E-05
84.0939	0.00318936	0.001120454	0.000538138	0.000445658	0.000369916
85.029	0.000807326	0.002837814	0.00380647	0.00453148	0.00302051
85.0609	4.50668E-05	8.77752E-05	8.49118E-05	7.37164E-05	0.000062039
85.0653	0.000545656	0.001090402	0.00142183	0.00204061	0.00134578
85.0973	0.000207176	7.39966E-05	3.52102E-05	2.74679E-05	2.57382E-05
85.1017	0.0133449	0.001943696	0.00131348	0.00183885	0
86.0156	0.000365337	0.000308327	0.000655909	0.000219555	0.000164621
86.0368	0.000275268	0.000964986	0.00121673	0.00155094	0.000876932
86.0687	3.06654E-05	5.87569E-05	7.62574E-05	0.00011085	7.37729E-05
86.0732	0.000233305	0.000224171	0.000488722	0.000495256	0.000185714
86.1051	0.000866747	0.000127736	8.41955E-05	0.000118151	0
87.0082	7.31144E-05	0.00012057	0.000798812	0.000484657	0.000555509
87.019	2.82012E-05	2.3579E-05	0.000048484	1.65884E-05	1.34407E-05
87.0235	0.000202348	0.00036288	0.000961026	0.000250672	2.13584E-05
87.0446	0.000891579	0.001894223	0.00137401	0.00216927	0.00111903
