PMF_m/z	HOA	BBOA	OOA1_BB	OOA2_BB-aq	OOA3
12	0.000702874	0.002540118	0.00959119	0.00574106	0.00591934
13.0034	9.66354E-06	2.74762E-05	0.000101023	6.22073E-05	6.47328E-05
13.0078	0.000657306	0.002031012	0.00459786	0.00382677	0.00122118
15.0235	0.0060443	0.02456479	0.0382673	0.0344024	0.0168897
15.9949	0.000125557	0.000173713	0.00085706	0.000768712	0.00123336
17.0027	0.000774695	0.00108999	0.00536609	0.0048021	0.00770375
17.9992	3.55256E-07	3.18943E-07	1.68737E-06	1.61379E-06	2.57084E-06
18.0106	0.00309888	0.004360019	0.0214644	0.0192078	0.0308136
24	0.000116539	0.000416062	0.00105139	0.000828681	0.000270142
25.0078	0.000457899	0.001704552	0.00393298	0.00318631	0.000879156
26.0156	0.00346468	0.010397559	0.0196315	0.015996	0.00584726
27.019	7.03204E-05	0.000227579	0.000436852	0.000347931	0.000115031
27.0235	0.0197538	0.032419386	0.0421294	0.0372624	0.0198087
27.9949	0.0137754	0.019378664	0.0954066	0.0853694	0.136933
29.0027	0.0131895	0.030066356	0.00078822	0.0780624	0.0484061
29.0391	0.0276097	0.022748399	0.0208155	0.0237497	0.0135345
29.9992	3.33032E-05	3.8801E-05	0.000189846	0.000176669	0.000285435
30.0061	0.000121118	0.000292847	0.000208135	0.000854823	0.000414561
30.0425	0.00060462	0.000490483	0.000456457	0.000527498	0.000277459
31.0139	6.50818E-05	2.04127E-05	0.000253325	0.000982625	0.000660136
31.0184	0.00456859	0.016307057	0.0266112	0.0332102	0.00884317
31.0503	1.48651E-05	2.64517E-05	8.10595E-06	4.86146E-05	0
33.014	3.0298E-06	5.55378E-05	4.10341E-05	0.000133558	0.000200243
36	0.000422228	0.000680338	0.000504267	0.00231641	0
37.0033	3.36471E-05	1.706E-05	2.17235E-05	8.81015E-05	0
37.0078	0.000931904	0.002540378	0.00416709	0.00255105	0.00135136
38.0112	2.98881E-05	8.27203E-05	0.000135707	8.29561E-05	4.30544E-05
38.0157	0.00207935	0.005222727	0.0074005	0.00468368	0.00234563
39.019	6.50758E-05	0.000170196	0.000240956	0.000152096	7.56039E-05
39.0235	0.019076	0.03028132	0.0362231	0.0250178	0.0128537
40.0268	0.000614747	0.000984791	0.00117877	0.000816559	0.000409291
40.0313	0.00362754	0.006144703	0.00771067	0.00609262	0.00332044
41.0027	0	0.001191117	0.00361264	0.00328115	0.00249418
41.0347	0.000117199	0.000200347	0.000250355	0.000197834	0.000106925
41.0391	0.0632733	0.04361909	0.0325883	0.0285164	0.0208149
42.0106	0.00240186	0.011416145	0.018576	0.0167345	0.0143811
42.0344	0.00422288	0.004355598	0	0.00545675	0.004733
42.0425	0.00208605	0.001407941	0.00107292	0.00096077	0.00063437
42.047	0.0104672	0.007870243	0.00653968	0.00549873	0.00284437
43.0139	5.34339E-05	0.000248675	0.000400723	0.000363261	0.000307697
43.0184	0.00710632	0.04897631	0.0784931	0.0942703	0.0754991
43.0314	1.47621E-05	1.78734E-05	0	2.21148E-05	1.53913E-05
43.0422	0	0.001676151	0.000842568	0.00683441	0.00720022
43.0503	0.00033886	0.000254663	0.000214464	0.000182235	8.82001E-05
43.0548	0.0772766	0.027081389	0.00874841	0.00673698	0.00813769
43.9898	0.0137754	0.019378664	0.0954066	0.0853694	0.136933
44.0217	0.000174864	0.001046411	0.00171916	0.0020353	0.00163247
44.0262	0.00308668	0.007919389	0.00741107	0.00823165	0.00279416
44.05	0.00311188	0.00206537	0	0.00293848	0.0029423
44.0581	0.00252213	0.000877811	0.000286753	0.000220279	0.000259929
44.0626	0.00045416	5.41666E-05	0	0.000206748	3.56522E-05
44.9977	0	0.002489022	0.0105059	0.013178	0.0133369
45.034	0.00421219	0.010087982	0.00817492	0.0111883	0.00660835
45.0578	0.00049298	0.00074712	0.000234019	0.00107936	0.00068669
45.066	1.37164E-05	3.22584E-06	0	8.19188E-06	1.17486E-06
46.0374	8.83926E-05	0.000218087	0.000176501	0.00024829	0.00013819
46.0419	0	0	0	0.00373554	0.00243877
46.9955	0	3.37745E-05	0	0.00119618	0.00106705
47.0133	0	0.002340042	0.00656021	0.014501	0
47.0452	0	0	0	9.72143E-05	0.000057118
49.0078	0.000286534	0.000634798	0.00100505	0.000585818	0.000434956
49.0289	6.89258E-06	5.60063E-05	0.000079124	0.000278049	0.000201491
50.0112	1.23777E-05	2.74561E-05	4.35935E-05	2.56684E-05	1.88124E-05
50.0157	0.0022709	0.005158892	0.00648137	0.00315254	0.00262445
51.019	9.68474E-05	0.000224449	0.000280016	0.000135617	0.000114581
51.0235	0.00396405	0.009531874	0.00918226	0.00414585	0.00362841
51.9949	6.4297E-06	9.47827E-05	0.000318447	0.000321469	0.0001615
52.0187	0.000209695	0.000460232	4.74656E-05	9.09386E-05	0.00146536
52.0268	0.000170885	0.000413207	0.000397145	0.000178757	0.000157487
52.0313	0.00183122	0.004843263	0.00476889	0.00241574	0.00145328
53.0027	0.000317186	0.003427544	0.00531128	0.00350389	0.00301457
53.0347	7.90971E-05	0.000209509	0.00020678	0.000104188	6.32374E-05
53.0391	0.00716371	0.009502792	0.00942535	0.0064148	0.00503068
54.0061	9.4574E-06	0.000111235	0.000173192	0.000114142	9.71726E-05
54.0106	1.74724E-05	0.001769041	0.00426417	0.00398177	0.00239894
54.0344	0.000123797	0.000798952	5.69958E-05	0.000560535	0.00180617
54.0425	0.000310308	0.000411015	0.000408038	0.00027744	0.000217563
