PMF_m/z	HOA	BBOA	OOA1_BB	OOA2	OOA3_BB-aq
12	0.00199241	0.00445888	0.0103016	0.0131031	0.0045638
13.0078	0.000980732	0.00292966	0.00443942	0.00446173	0.00367017
15.0235	0.00908118	0.0304666	0.0356428	0.0295947	0.0303994
15.9949	0.000127418	0.000429688	0.000821051	0.00144781	0.000856149
17.0027	0.000800953	0.00286462	0.00503291	0.00919798	0.00506387
18.0106	0.00320586	0.0108828	0.0207268	0.0369551	0.0218648
24	0.000273867	0.000626033	0.000929966	0.0010868	0.000714021
25.0078	0.00120426	0.00259175	0.00354193	0.00389708	0.00245678
26.0156	0.00749919	0.0152447	0.0187536	0.0181318	0.0127078
27.0109	0.00241469	0.00120486	0.00324373	0.00475232	0.00501785
27.0235	0.0335116	0.0407771	0.0462817	0.0353232	0.0349848
27.9949	0.0142483	0.0483683	0.0917536	0.161343	0.0941909
29.0027	0.00204545	0.00809655	0	0	0.118281
29.0391	0.0308243	0.0246979	0.0243946	0.0158613	0.0221907
30.0469	5.49282E-10	0.00316498	0.00272342	0.00118009	0.00420093
31.0184	0.00221728	0.0130149	0.0162018	0.0176495	0.0194153
36	5.45606E-05	0.000646711	0.000408245	0.000551688	0.000136557
37.0078	0.00203115	0.00365149	0.00371016	0.00354066	0.00234111
38.0157	0.00428193	0.00661481	0.00650522	0.00596338	0.00419421
39.0235	0.0389384	0.0358803	0.0379971	0.0286332	0.0244178
40.0313	0.00646349	0.00796889	0.0075489	0.00712166	0.00581528
41.0027	2.53288E-11	0.00279763	0.00283409	0.00467088	0.00462551
41.0391	0.0899672	0.0438693	0.0495606	0.0261898	0.0279896
42.0106	0.000578981	0.0161198	0.0189587	0.0244957	0.0224785
42.047	0.018513	0.0100066	0.0105783	0.00552704	0.00578408
43.0184	0.00471421	0.0655098	0.0929583	0.0825719	0.126869
43.0548	0.0764832	0.0186359	0.0190582	0.00582597	0.0061897
43.9898	0.0142483	0.0483683	0.0899335	0.161131	0.0939254
44.0262	5.49526E-10	0.0100852	0.00691317	0.00692768	0.0094446
44.0626	0.0013833	0.000841568	0.000912699	0.000186247	0.0020915
44.9977	0.000620895	0.00615378	0.00861341	0.0157036	0.011634
45.034	0.000913748	0.00821576	0.00598169	0.00573073	0.00842031
46.0419	2.27579E-05	0	0.000014792	0.000287363	0
