PMF_m/z	HOA	BBOA	OOA1	OOA2	OOA3_BB-aq
12	0.00163331	0.00249246	0.00884684	0.0132355	0.00730182
13.0078	0.000700715	0.00238262	0.00399439	0.00423048	0.00405464
15.0235	0.00645882	0.025579	0.0337176	0.026571	0.0303632
15.9949	3.64645E-05	0.000229785	0.000865434	0.00195101	0.00107174
17.0027	0.00022922	0.00143474	0.00540921	0.0121903	0.00670342
18.0106	0.00091745	0.00573848	0.0216378	0.0487612	0.0268145
24	0.000235133	0.00051316	0.00100594	0.00109022	0.000965957
25.0078	0.00103394	0.00203448	0.00363355	0.00380698	0.003349
26.0031	0.00013927	0.000503414	0.000725656	0	0.00290012
26.0156	0.00643854	0.0122765	0.019427	0.0181141	0.0158405
27.0109	0.001151	0.00363373	0.00341778	0.00243846	0.0127258
27.0235	0.0330497	0.0317957	0.0473474	0.0364899	0.0354002
27.9949	0.00407752	0.0255256	0.0961817	0.216725	0.11911
29.0027	0.00175616	0.0421363	0.0491401	0.0012669	0.159628
29.0391	0.0321817	0.0237013	0.0216128	0.0145806	0.0229791
30.0344	0.0014707	0.00723212	0.00673058	0.00333752	0.00514943
30.0469	4.71594E-10	0.000710939	0.000994553	0.000148714	0
31.0184	0.00159326	0.0187249	0.0107372	0.0134524	0.0325209
37.0078	0.00174387	0.00298366	0.00427593	0.00429064	0.00241777
38.0157	0.00367631	0.00556068	0.00753851	0.00724493	0.00397096
39.0235	0.0355007	0.0290463	0.0437269	0.0346223	0.0230823
40.0313	0.00495046	0.00769815	0.00819884	0.00740111	0.00514382
41.0027	6.52384E-11	0.00232886	0.00313443	0.00480926	0.00414033
41.0391	0.0904186	0.0389448	0.0497377	0.0306071	0.0328065
42.0106	0.00120563	0.0124044	0.0203184	0.0271566	0.0144806
42.0344	0.0030313	0.00427715	0.00454223	0	0.00714969
42.047	0.0158946	0.00739199	0.0100745	0.00565766	0.00512538
43.0184	0.0109277	0.0402063	0.0984888	0.0936471	0.0793971
43.0548	0.0793941	0.0237275	0.0149142	0.00596774	0.0139945
43.9898	0.00407752	0.0255256	0.0961817	0.216725	0.11911
44.0262	1.57268E-10	0.0101241	0.00737137	0.00288004	0.00883617
44.05	0.00123859	0.00416711	0.00359053	0	0.00399642
44.0626	0.000586674	0	0	0	0
44.9977	0.000533079	0.00256172	0.00839766	0.0158777	0.00975618
45.034	0.000784512	0.0118335	0.00476362	0.00493158	0.0102804
46.9955	1.17946E-05	0	5.92637E-05	0	0.00182328
47.0133	0.000176095	0.00334599	0	0	0.00954742
49.0078	6.16617E-11	0.00118033	0.000922504	0.00118925	0.00033004
49.0289	2.84782E-06	0.000082406	0.00011782	8.20374E-05	0.000194655
50.0157	3.49E-03	0.00602802	0.005557	0.00621206	0.00278457
51.0235	0.00574069	0.00968158	0.00837831	0.00785369	0.00403079
51.9949	1.89748E-10	0.000350647	0.000100785	0.00020975	0.000515544
52.0313	0.00252122	0.00508297	0.004797	0.00465458	0.00208485
53.0027	1.4778E-10	0.00365668	0.00202903	0.00339787	0.0038963
53.0391	0.0118326	0.00901611	0.0123144	0.0101458	0.005733
54.0106	2.34294E-10	0.00189504	0.00149232	0.00300036	0.00352649
54.0218	0	0.00102338	0.000824937	0.000253909	0.00118198
54.047	0.0105072	0.00568149	0.00701353	0.00460381	0.00193432
55.0184	0.00450051	0.0186584	0.019802	0.0198998	0.0161933
55.0548	0.0777581	0.0251108	0.0195283	0.0104246	0.0165361
55.9898	1.44813E-10	0.000298668	4.65924E-05	0.00032203	0.00126356
56.0262	1.51925E-09	0.00826254	0.00417066	0.00444093	0.00535578
56.0626	2.29E-02	0.00529439	0.00566037	0.00242407	0.0052282
57.034	0.00176205	0.0215197	0.00718688	0.0078361	0.0132749
57.0704	0.0739707	0.0131262	0.00316351	0.00254508	0.00871801
58.0055	5.14792E-10	0.00177866	0.000513088	0.00225659	0.0039874
58.0419	0.00069627	0.00180916	0.00665308	0.00484224	0.00315618
58.0783	3.15864E-11	0.000515797	0	0	0.000131888
59.0133	5.15071E-05	0.00191709	0.000389483	0.00163883	0.00258454
59.0497	0.00048368	0.00168926	0.00443154	0.00394049	0.00217344
59.0735	0.000138731	7.19114E-05	0.000356647	0.00E+00	0.000557646
60.0211	0.000529703	0.0258316	0.00297321	0.00300455	0.0111573
60.0575	0.000013134	0.000412986	0.000442262	0	0.000372382
61.0078	0.000251323	0.000475708	0.000444097	4.68E-04	0.000274499
61.0289	0.000307694	0.00476654	0.00120015	0.00172857	0.00242529
62.0157	0.000858822	0.00201172	0.00121218	0.00155109	0.000698153
62.0368	5.7325E-12	0.000302373	0.000289581	6.36345E-05	0.000220601
63.0235	0.00219732	0.00517902	0.00317715	0.0029393	0.00202672
64.0313	0.00100567	0.0020821	0.00072313	0.000275473	0
65.0027	0	0.000183282	0.000124848	0	0.000790604
65.0391	0.00603204	0.0071403	0.00598733	0.00527833	0.00239723
66.0106	1.79441E-05	0.000904833	0.000335291	0.000552605	0.000700147
66.047	0.00232336	0.00291298	0.0031589	0.00273155	0.000924566
67.0184	6.40768E-12	0.00148287	6.09381E-05	0.000942017	0.0016496
67.0548	0.031958	0.0113876	0.0128498	0.00836273	0.00602654
67.9898	2.69771E-11	0.000195071	4.85054E-05	0.000410307	0.000690656
68.0262	1.06929E-10	0.0040465	0.00306565	0.00366608	0.00344622
68.0626	0.00899013	0.00387132	0.00416404	0.00267939	0.00121054
68.9977	6.80799E-11	0.00161375	0.00157223	0.00310508	0.00227737
69.034	0.000735572	0.00655094	0.00464691	0.00528513	0.00508008
69.0704	0.0461327	0.0126229	0.00743503	0.0042026	0.00672797
70.0055	3.77779E-10	0.000539195	0.000561836	0.00127839	0.000766852
70.0419	6.35325E-11	0.00382813	0.00359555	0.00304223	0.00213766
70.0738	0.0025404	0.000686354	0.000394827	2.24E-04	0.000360226
70.0782	0.0105661	0.00308897	0.00199685	0.000789886	0.00179582
71.0133	2.85651E-11	0.00406452	0.00241144	0.0051792	0.00262563
71.0497	0.00116987	0.00299081	0.00599836	0.00430542	0.00414955
71.0861	0.0316444	0.00464261	0.000649948	0.00105195	0.00264928
72.0211	0.000015577	0.00143938	0.00085274	0.00162264	0.0014676
