PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1_BB	OOA2_BB-aq	OOA3
28/01/2014 13:31	28/01/2014 13:35	0.289882	0.436184	0.1804126	0.0648094	0.310014
28/01/2014 13:35	28/01/2014 13:39	0.223236	0.5370428	0.0862848	0.36429	0
28/01/2014 13:39	28/01/2014 14:05	0.197039	0.51479	0.341622	0.2875	0.1337408
28/01/2014 14:05	28/01/2014 14:10	0.240148	0.565096	0.314106	0.427514	0.0523254
28/01/2014 14:10	28/01/2014 14:14	0.285158	0.646718	0.271962	0.495834	0.1042188
28/01/2014 14:14	28/01/2014 14:19	0.352446	0.8540472	0.152403	0.310992	0.0518836
28/01/2014 14:19	28/01/2014 14:24	0.405402	0.6392124	0.219568	0.35488	0.1157114
28/01/2014 14:24	28/01/2014 14:28	0.1866158	0.6004024	0.1997058	0.3211	0.0052765
28/01/2014 14:28	28/01/2014 14:33	0.31762	0.468318	0.1610834	0.408298	0.1985084
28/01/2014 14:33	28/01/2014 14:38	0.232522	0.484254	0.1979452	0.339618	0.1910898
28/01/2014 14:38	28/01/2014 14:42	0.1460676	0.54051836	0.1155812	0.38001	0.1592888
28/01/2014 14:42	28/01/2014 14:47	0.253396	0.4114222	0.0501562	0.382748	0.293322
28/01/2014 14:47	28/01/2014 14:52	0.246272	0.599328	0.0764772	0.523062	0.0311832
28/01/2014 14:52	28/01/2014 14:56	0.23108	0.73572234	0.1286778	0.27959	0.0563154
28/01/2014 14:56	28/01/2014 15:01	0.282756	0.66843548	0.103158	0.320642	0.0812276
28/01/2014 15:01	28/01/2014 15:06	0.222254	0.3782398	0.0429286	0.705546	0.0578606
28/01/2014 15:06	28/01/2014 15:10	0.321284	0.68674	0.1309798	0.21928	0.226234
28/01/2014 15:10	28/01/2014 15:15	0.33005	0.5853738	0.1174994	0.530354	0
28/01/2014 15:15	28/01/2014 15:20	0.349724	0.488884	0.138747	0.734192	0
28/01/2014 15:20	28/01/2014 15:24	0.320422	0.640488	0.1331078	0.402724	0.0557776
28/01/2014 15:24	28/01/2014 15:29	0.368016	0.774092	0.1170158	0.1792382	0.220576
28/01/2014 15:29	28/01/2014 15:34	0.389732	0.7861514	0.1391926	0.433088	0.0604654
28/01/2014 15:34	28/01/2014 15:38	0.371998	0.72103	0.1762322	0.38916	0.250162
28/01/2014 15:38	28/01/2014 15:43	0.361892	0.7732012	0.211856	0.348608	0.188765
28/01/2014 15:43	28/01/2014 15:48	0.23094	0.743981	0.1450314	0.401466	0.227852
28/01/2014 15:48	28/01/2014 15:52	0.235084	0.8963238	0.1041572	0.453664	0
28/01/2014 15:52	28/01/2014 15:57	0.1918594	0.8922934	0.080294	0	0.461782
28/01/2014 15:57	28/01/2014 16:02	0.254196	0.7207137	0.1680914	0.53313	0
28/01/2014 16:02	28/01/2014 16:06	0.211588	0.701178	0.1048426	0.523682	0.0620248
28/01/2014 16:06	28/01/2014 16:11	0.194015	0.799536	0.1012976	0.33778	0.201784
28/01/2014 16:11	28/01/2014 16:16	0.222674	0.938852	0.0673072	0.0570246	0.262696
28/01/2014 16:16	28/01/2014 16:20	0.293804	0.6803476	0.099733	0.675942	0.042564
28/01/2014 16:20	28/01/2014 16:25	0.282256	0.912763	0.0980184	0.1572382	0.163161
28/01/2014 16:25	28/01/2014 16:30	0.512636	0.63829	0.20672	0.370202	0
28/01/2014 16:30	28/01/2014 16:34	0.24367	0.718294	0.1163006	0.347948	0.1513886
