PMF_m/z	HOA	COA	BBOA	OOA1	OOA2	OOA3
12	0.00068104	0.00460045	6.69985E-10	0.00914366	0.00746704	0.0151065
13.0078	0.000757257	0.00191299	0.000623643	0.00457071	0.00321826	0.00475635
15.0235	0.00931248	0.0112995	0.0228048	0.0410941	0.0180362	0.0335176
15.9949	4.35532E-05	0.000530776	0.000119186	0.000813861	0.001345	0.00164931
17.0027	0.000273781	0.00329139	0.000745441	0.00512488	0.00838335	0.0103288
18.0106	0.0010958	0.0131654	0.00298777	0.0204998	0.0335334	0.0413162
25.0078	0.000697168	0.0026689	0.000275403	0.00370891	0.00297282	0.0037198
26.0031	0.000149452	5.54402E-06	0.000603413	9.94157E-05	6.64264E-05	0.000737903
26.0156	0.00710994	0.0160587	0.00546349	0.0186985	0.0149894	0.0168101
27.0109	0.000825386	0.000709734	0.0031202	0.00155711	0.00222825	0.00570638
27.0235	0.0310631	0.049623	0.031752	0.0453412	0.0343377	0.0289337
27.9949	0.00487019	0.0585126	0.013279	0.0911073	0.149034	0.183626
29.0027	0.00209755	0.0110471	0.0169858	0.0593488	0.0326058	0.0584587
29.0391	0.0296578	0.0368764	0.0276251	0.0202349	0.0173685	0.00919105
30.0469	5.63272E-10	0.00113219	4.96548E-10	0.00262402	0.00137452	0.00218112
31.0184	0.00227375	0.00480649	0.0122308	0.0157391	0.015168	0.0150638
36	0.000150848	0.000385309	0.000167127	0.000681525	0.000466089	0.000504338
37.0078	0.00208288	0.00311484	0.00155871	0.003967	0.00327604	0.00325216
38.0157	0.00412568	0.00579484	0.0032167	0.00664019	0.00580677	0.0054008
39.0235	0.0394244	0.0442044	0	0.0369737	0.0315735	0.0223374
40.0313	0.00673142	0.00869781	0.000117408	0.00747215	0.00883117	0.00463861
41.0027	2.5974E-11	0.00115258	0.00487821	0.00351725	0.00419834	0.00484078
41.0391	0.086331	0.0780284	0.0357875	0.0382431	0.0291405	0.0195802
42.0106	0.000593728	0.00901033	0.0108239	0.0210936	0.0241278	0.0216992
42.047	0.0185956	0.0188878	0.00728873	0.0076261	0.0056353	0.00505801
43.0184	0.0145026	0.0182689	0.0616162	0.120074	0.0840134	0.0668456
43.0548	0.0793498	0.0411392	0.0173812	0.0092281	0.00576265	0.00477104
43.9898	0.00487019	0.0585126	0.013279	0.0911073	0.149034	0.183626
44.0262	5.63523E-10	0.00480631	0.0101208	0.00777977	0.00730577	0.00457852
44.0626	0.00224333	0	0.00955128	0.000437454	0	0.000510151
44.9977	0.00063671	0.00395211	0.00317656	0.00733846	0.0139225	0.011995
45.034	0.000937022	0.0037963	0.0065335	0.00624138	0.00553414	0.00466361
47.0133	7.01129E-05	0.000209336	0.00154258	0.000999589	0.00106085	0.00159532
48	0.000286581	0	0.00568424	0.000618284	0.000576852	0.00191394
49.0078	7.36488E-11	0.000777262	4.93164E-10	0.00101141	0.000824873	0.00080184
50.0157	0.00376207	0.00460227	0.00357567	0.00524027	0.00443451	0.00406691
51.0235	0.00679405	0.00744554	0.00637089	0.00760809	0.00600929	0.00509807
51.9949	7.55491E-11	0.000120809	9.80114E-05	0.000218324	0.000180515	0.000309098
52.0187	5.91092E-09	0.000175203	0.000747212	6.15694E-05	0.00035438	0.000190013
52.0313	2.91E-03	0.00398524	0.00280333	0.00399486	0.00378577	0.00323521
53.0027	1.76508E-10	0.00115547	0.00299992	0.00253666	0.00237159	0.00284632
53.0391	0.0119354	0.0120551	0.0103909	0.0105537	0.00928166	0.00580386
54.0106	2.79841E-10	0.00104244	8.08958E-05	0.00208795	0.0024411	0.00258962
54.0218	0	0	0.00845951	2.57659E-05	0.000507246	0.000546237
54.047	0.00969649	0.0143123	0.00446709	0.00339735	0.00390372	0.00238407
55.0184	0.00206797	0.0242117	0.0191603	0.0183636	0.0200567	0.0122948
55.0548	0.0753917	0.0483307	0.0190125	0.0132838	0.0090984	0.00684574
55.9898	5.76538E-11	1.77979E-05	1.60531E-10	0.000273637	0.00026123	0.000521267
56.0262	1.81459E-09	0.00390915	0.00369145	0.00424423	0.00494864	0.00364525
56.0626	0.0236072	0.0130658	0.00306873	0.00361069	0.00196396	0.00227184
57.034	0.00152005	0.00971983	0.0118841	0.00942764	0.00838468	0.00522612
57.0704	0.0755253	0.0204386	0.000640308	0.00219498	0.0015114	0.00269634
58.0055	2.05E-10	0.000315834	0.000429564	0.00101335	0.00164795	0.00199257
58.0419	0.000831625	0.00273624	0.00335274	0.00866605	0.00443898	0.00340083
58.0783	3.77268E-11	0.000342845	4.93239E-11	0.00104766	4.58578E-05	0.000544181
59.0133	6.15201E-05	0.000343628	0.000931491	0.00104532	0.00116101	0.0011643
59.0497	0.000577707	0.00183035	0.00220454	0.0045071	0.00482162	0.00142882
60.0211	0.000632678	0.00577118	0.00911232	0.00373171	0.00301927	0.00375345
60.0449	0.000288299	0.000281597	0.00443843	0.000299207	0.000212696	0.000320854
60.0575	5.22915E-06	0	0.000236302	0	0	0
61.0289	0.00036751	0.00114974	0.00172747	1.34E-03	0.00112715	0.00117444
61.9826	1.18709E-06	2.70112E-06	5.03594E-05	0	0	0.000157287
62.0157	0.00104892	0.0010921	0.00122871	0.00114282	0.000948958	0.000894455
62.9905	5.08468E-05	7.97157E-05	0	1.52E-05	0.000106045	0.00042413
63.0235	0.00277562	0.0028784	0.00338613	0.00272019	0.00202047	0.00194232
64.0313	0.00120118	0.000863574	7.97103E-10	0.000759148	0.000688194	0.000279003
65.0391	0.00603713	0.00626044	0.00628423	0.00493574	0.00390239	0.0031369
66.0106	6.42973E-05	0.000190607	7.40308E-11	0.000432782	0.000456313	0.000512242
66.047	0.0024484	0.00331888	0.00218624	0.00222104	0.00228343	0.00164646
67.0184	7.65333E-12	0	9.80189E-12	0.000567454	0.000990208	0.000791174
67.0548	0.0303246	0.0255168	0.00567681	0.00818815	0.00677532	0.00417659
67.9898	1.07407E-11	0.000100513	2.20139E-11	0.00022377	0.000258291	0.00043562
68.0262	1.27717E-10	0.00201419	0.0024184	0.00273263	0.00328776	0.00281183
68.0626	0.0084223	0.00790495	0.00350236	0.00214575	0.00212403	0.00133822
68.9977	8.13146E-11	0.000737674	0.00166917	0.00176	0.002354	0.0024131
69.034	0.000878567	0.00266635	0.00492826	0.00475449	0.00567089	0.00312482
69.0704	0.0451064	0.0188641	0.00674885	0.00526757	0.00326831	0.00278191
70.0055	4.51219E-10	0.000227156	0.000535866	0.000664919	0.000938295	0.00113337
70.0419	7.58832E-11	0.00300727	0.00421947	0.00334979	0.00341451	0.00167253
70.0782	0.0104156	0.00500853	0.00282021	0.00102374	0.000393757	0.000777782
71.0133	1.02352E-10	0.00101539	0.00213319	0.00258797	0.00442012	0.0035095
71.0497	0.000971987	0.00415415	0.00497133	0.00600581	0.00475005	0.00207434
71.0861	0.0324648	0.0064217	4.73032E-10	0.000521438	0.000432755	0.00104153
72.0211	0.000055819	0.000495174	0.000882043	8.49E-04	0.00148968	0.00114487
72.0575	0.000196657	0.000753345	0.000291528	0.00144318	0.000921502	0.000650028
72.0939	7.04612E-11	4.49233E-05	2.6327E-11	8.95059E-05	0	2.53274E-05
73.0078	2.58928E-10	0	0.000636234	3.33909E-06	0	0.000120288
73.029	7.58521E-10	0.00630958	0.00744293	0	0.00397816	0.001357
73.0402	1.50382E-05	0.00108647	2.39513E-11	0.00101543	0.000548909	0.00117331
73.0653	7.59428E-05	0.000618599	0.00120222	0.000355243	0.000358125	0.000198143
74.0156	7.75E-04	0.000689421	0.00100097	0.000630695	0.000568228	0.000603098
74.0368	0.000348805	0.000944025	1.42E-03	0.00136772	0.00153679	0.00108241
74.0732	5.32292E-05	5.2082E-06	0.00020069	9.63901E-05	4.13176E-05	1.65956E-05
75.0235	0.000774674	0.000738038	0.00111128	0.000670239	0.000500948	0.000641555
75.9441	4.73742E-10	9.2637E-06	1.66526E-05	1.98221E-05	0.000014407	7.32689E-05
76.0035	0	2.68765E-05	0	0.000111194	0	2.66867E-05
76.016	1.26213E-09	0	0.000124386	0	0.000923967	0.000180823
76.0313	0.00105908	0.00124697	0.0013775	0.00119621	0.000826739	0.00096888
77.0027	5.72E-09	0	1.98349E-07	0	1.49374E-05	0.000061886
77.0391	0.00934648	0.00820491	0.00936819	0.00648567	0.0041367	0.00345979
77.9775	0	0.000139566	0.000302431	0.00015427	0	0.000984108
78.047	0.00322131	0.00413576	0.00211022	0.00204044	0.00162156	0.00141537
78.9854	1.18909E-10	0.000364032	0.000368342	0.000615666	0	0.00284057
79.0184	5.67185E-11	0	0.000339941	3.60365E-05	0.000221366	0.000361486
79.0548	0.0154856	0.0131823	0.00924063	0.00672378	0.00481649	0.0032217
80.0262	0.000276333	0.000207025	0.00142898	0.000682369	0.000833936	0.00100082
80.0626	0.00355044	0.00391953	0.00236129	1.13E-03	0.00120452	0.000598298
