PMF_m/z	HOA	COA	BBOA	OOA1	OOA2
12	0.00144955	0.00772371	0.00636504	0.0160879	0.00929752
13.0078	0.000796627	0.00326356	0.00397895	0.00452112	0.00447493
14.0156	0.00350293	3.35936E-11	0.0165429	0.0265693	0.0105081
15.0235	0.00505521	0.0249562	0.0355385	0.0248112	0.0263727
16.0313	0.000863578	7.92888E-11	0	0.00479766	0.0201892
25.0078	0.000961436	0.00311317	0.00356059	0.00427109	0.00377891
26.0031	9.09221E-05	0.000960094	0.000380007	0.00170896	0.000745092
26.0156	0.0066822	0.0173423	0.0185798	0.0195539	0.0178632
27.0109	0.000455016	0.00452222	0.00342921	0.00895162	0.0069012
27.0235	0.0306755	0.0499668	0.0377597	0.0329619	0.0285531
27.9949	0.0105652	0.0307557	0.043185	0.180022	0.148227
29.0027	0.00640085	0.0266606	0.0753776	0	0.0972506
29.0391	0.0299813	0.0291289	0.0190795	0.0141714	0.0143926
30.0344	0.00292169	8.95096E-10	0.00690438	0.00233761	0.00965663
30.0469	0.000292169	2.44148E-10	0.00100595	0.000569092	0.00132934
31.0184	0.00119776	0.0110901	0.0170935	0.0111975	0.020554
31.0422	0.000142834	0.000711548	0.000799605	6.49743E-05	0.00154396
32.0262	0.000361609	2.8304E-11	0.00368665	6.68469E-05	0.00481355
37.0078	0.00139872	0.00451973	0.00427077	0.00396528	0.00319342
38.0157	0.00278157	0.0081056	0.00781529	0.00656607	0.00526098
39.0235	0.0390705	0.0301599	0.0385466	0.0313367	0.022449
40.0313	0.0051943	0.0116434	0.00856375	0.00788418	0.00640393
41.0027	0.000435449	5.56269E-11	0.00254134	0.00486277	0.00385246
41.0391	0.0952143	0.0636019	0.0364164	0.027397	0.0181957
42.0106	0.00138547	0.0118236	0.0128201	0.0193729	0.018038
42.0344	3.27092E-05	0.00403779	0.00493865	0.00166506	0.00534428
42.047	0.0162832	0.0111631	0.00801838	0.00520195	0.00340081
43.0184	0.00558758	0.0598486	0.0335974	0.0552628	0.0652752
43.0548	0.0827997	0.0304231	0.0153177	0.0087353	0.00380675
43.9898	0.0105652	0.0307557	0.043185	0.180022	0.148227
44.0262	0.000959998	0.0028	0.00779757	0.00736743	0.00978906
44.0626	0.00102063	0.00110614	0.000668628	0.000294633	0.0021597
44.9977	0.000326902	0.00354883	0.00274691	0.00796547	0.0105593
45.0215	4.10353E-05	0.000228518	0	0.0016054	0.00104388
45.034	0.000634899	0.00468306	0.0069742	0.00337904	0.00704569
46.0419	2.80919E-05	0.00053698	0	0.000228255	0.00163198
46.9955	6.37569E-05	1.71113E-10	6.05254E-05	0.000322026	0.001154
47.0133	9.47676E-05	0.000541525	0.0021576	0.000713344	0.00427056
47.0371	6.17956E-06	7.63179E-05	9.96993E-05	5.69198E-05	0.000105402
49.0078	2.96E-04	4.50985E-11	0.00118095	0.000937435	0.000596192
49.0289	3.50832E-06	5.01885E-05	2.31674E-05	5.87196E-05	6.94219E-05
50.0157	0.00221958	0.00834052	0.0074475	0.00527023	0.00393827
51.0109	0	0.000526532	0	0.000482403	0
51.0235	0.00388302	0.0123778	0.0113953	0.00656749	0.00463781
52.0061	5.01188E-05	0.000280148	0.000295201	0.000362836	0.000257839
52.0187	0	0.000798736	0.000331827	0.000672209	0.000397636
52.0313	0.00180976	0.00618338	0.00632191	0.00397574	0.00287139
53.0027	0.00028591	0.00119594	0.00357087	0.00304431	0.00331792
53.0266	0	0.000306402	1.98427E-05	0.000744943	2.58673E-05
53.0391	0.011035	0.0139954	0.00976436	0.00724584	0.00548927
54.0106	0.000236231	0.00163437	0.00242685	0.00268308	0.00373129
54.0344	0	0.0012061	0.000628399	0.000785873	0.000889591
54.047	1.04E-02	0.00974136	0.00580939	0.00337578	0.00180681
55.0184	0.00173116	0.0233192	0.0150153	0.0133444	0.0135797
55.0548	0.0812287	0.0346005	0.0176547	0.0114901	0.00581904
56.0262	0.000281823	0.00557479	0.00526273	0.00341283	0.00408457
56.05	0	3.8182E-11	0.00120852	0.000351328	0.00175698
56.0626	0.0216983	0.00825978	0.00471405	0.00280672	0.00102026
57.034	0.000635926	0.0106356	0.0129087	0.00619721	0.00946844
57.0704	0.0757607	0.00878302	0.00711007	0.00466788	0.000858995
58.0055	8.88581E-05	1.84859E-10	0.00121526	1.29E-03	0.00253679
58.0293	5.13105E-05	2.03649E-10	0.00016166	0.000464561	0.000380544
58.0419	0.000556191	0.00371132	0.00143182	0.00237975	0.00242215
58.0657	0.000022319	1.21608E-09	0.00182903	0.00E+00	0.00275202
58.0783	0.000841552	9.79216E-06	1.13042E-05	0	0.000261426
59.0133	2.41278E-05	0.000395917	0.00130056	0.00130644	0.00154898
59.0245	0.000015185	0.000272278	0.000308741	0.000224635	0.000312831
59.0371	1.35092E-05	0.000233599	0.000113027	0.000358072	0.000227032
59.0497	0.000347757	0.00244074	0.000907627	0.00130793	0.00175607
