PMF_m/z	HOA-1	BBOA	HOA-2	MOOOA	LOOOA
12	0.003777592	0	0	0	0
13	0.001432674	0.000818277	0.000899427	0.002564337	0.001283288
15	0.006835121	0.052996561	0.014287339	0.013377183	0.013033287
16	0.000767869	0.001876705	0.00136548	0.012094242	0.003453694
17	0.004799182	0.011729408	0.00853425	0.075589013	0.021585588
18	0.019196728	0.04691763	0.034136998	0.30235605	0.086342351
24	0.000509943	0.000355289	0.00070037	0.002402957	0.000467141
25	0.001305015	0.002049224	0.00309628	0.00425827	0.001973742
26	0.007816358	0.011893604	0.016957625	0.018697747	0.012394322
27	0.029528676	0.034713163	0.055622144	0.030639276	0.050148851
29	0.041922281	0.095310515	0.063469684	0.053252012	0.103469966
30	0.001379971	0.002029667	0.001338482	0.001194757	0.002168869
31	0.002414124	0.03645068	0.000247357	0.007222428	0.026800771
37	0.001946685	0.004456877	0.003443839	0.004671888	0.001861075
38	0.003314763	0.006109423	0.004937818	0.004339172	0.006973237
41	0.071120582	0.01753961	0.085663225	0.012909305	0.026089907
42	0.016622257	0.02415249	0.024208106	0.018466044	0.026504102
43	0.088012149	0.045770425	0.050703357	0.020420666	0.167433478
44	0.019196728	0.04691763	0.034136998	0.30235605	0.086342351
45	0.002434542	0.018054969	1.299E-14	0.009890633	0.02366781
48	0.000369731	0.001751726	0.000475602	0.000413968	0.001207746
49	0.000346148	0.001060695	0.000576143	0.000840003	0.001224852
50	0.002391552	0.006652197	0.003570435	0.003607615	0.005717917
51	0.003933785	0.012282434	0.005597049	0.003742238	0.008782592
52	0.002054572	0.00696113	0.003649281	0.00298454	0.004712451
53	0.008190391	0.012508949	0.011122544	0.004741878	0.015704636
54	0.00843568	0.004544264	0.017597652	0.003714116	0
55	0.074113423	0.022530461	0.076674133	0.007335417	0.007707036
56	0.02239236	0.011251419	0.021545012	0.003647604	0.003654337
57	0.076185904	0.026807791	0.032167169	0	0.003309399
58	0.00543886	0.003954088	0.003859373	0.002610083	0.011598395
59	0.001212705	0.003613386	0.001052409	0.00086711	0.007586693
60	0.001913923	0.044037083	0.00351533	2.01534E-05	0
61	0.00097042	0.006445204	0.001095412	0.000591154	0.001716464
62	0.000715878	0.003506729	0.000953568	0.000827079	0.002421908
63	0.002192295	0.007919368	0.002148997	0.002719944	0.004105462
64	0.002618893	0.006280868	0.004908558	0.00289671	0.003835032
65	0.008902231	0.009779315	0.012092577	0.003659993	0.008399954
66	0.002409521	0.004885461	0.003956346	0.002009661	0.003487588
67	0.028092945	0.003350178	0.035036635	0.003115115	0.002171644
68	0.009905733	0.007341679	0.013126753	0.003061624	0.003585252
69	0.049044563	0.012844802	0.029909943	0.001548638	0.011188284
70	0.013392114	0.005789536	0.011696302	0.002066688	0.003467285
71	0.037973202	0.007124127	0.014551151	0.000808261	0.010946058
72	0.002762823	0.002943798	0.001264396	0.000719238	0.00319062
73	0.002678016	0.020506697	0.005620675	0.000611774	3.61723E-05
74	0.001367833	0.006230232	0.001222362	0.000818709	0.003774399
75	0.00104009	0.00425674	0.000760704	0.000581701	0.003190406
76	0.001242924	0.004878975	0.00074459	0.001160603	0.003570657
77	0.006935886	0.014991772	0.009188117	0.002212409	0.011277031
78	0.003204953	0.005883301	0.006200296	0.002214103	0.001786028
79	0.014289665	0.007207717	0.018401999	0.00363558	0.007952498
80	0.003196047	0.004422705	0.003434058	0.000626641	0.002214388
81	0.027816058	0.005324677	0.026622628	0.001704035	0.005278583
82	0.009764258	0.003985305	0.00983521	0.001720549	0.004869706
83	0.030642614	0.002373748	0.020384306	0.000259926	0.006073312
84	0.008982228	0.003456307	0.008510509	0.001240684	0.002050082
85	0.022683654	0.003315039	0.00942471	0.000689114	0.00810157
86	0.002295597	0.002719938	0.000952257	0.000665236	0.003088245
87	0.001172672	0.005304142	0.00149456	0.000904202	0.003345318
88	0.000332573	0.002985853	0.000453378	0.000320338	0.001426962
89	0.001163196	0.00732809	0.000863735	0.000879616	0.003047831
