Time (UTC)	Time (Local)	Chl	NH4	NO3	Org	SO4
07/04/2016 13:15	07/04/2016 15:15	0.0290584	0.726871	0.181277	1.85027	2.20241
07/04/2016 13:20	07/04/2016 15:20	0.054079	0.740135	0.161466	1.765	2.19486
07/04/2016 13:25	07/04/2016 15:25	0.0410695	0.802519	0.247812	1.95285	2.35798
07/04/2016 13:30	07/04/2016 15:30	0.0511398	0.756913	0.200428	1.82815	2.28525
07/04/2016 13:35	07/04/2016 15:35	0.0656962	0.800878	0.21149	1.91516	2.27503
07/04/2016 13:40	07/04/2016 15:40	0.0824896	0.794671	0.272902	1.89312	2.25845
07/04/2016 13:45	07/04/2016 15:45	0.0600177	0.797385	0.195609	1.75971	2.24422
07/04/2016 13:50	07/04/2016 15:50	0.119562	0.75872	0.33419	1.9906	2.20663
07/04/2016 13:55	07/04/2016 15:55	0.0828946	0.844048	0.284442	1.70966	2.32629
07/04/2016 14:00	07/04/2016 16:00	0.130501	0.871521	0.288629	1.7075	2.37542
07/04/2016 14:05	07/04/2016 16:05	0.0873375	0.840295	0.229013	1.63257	2.31676
07/04/2016 14:10	07/04/2016 16:10	0.0658208	0.838876	0.220275	1.7325	2.30092
07/04/2016 14:20	07/04/2016 16:20	0.152253	0.859263	0.185923	1.66169	2.30712
07/04/2016 14:25	07/04/2016 16:25	0.121657	0.845028	0.259734	1.71834	2.2345
07/04/2016 14:30	07/04/2016 16:30	0.142797	0.875945	0.226199	1.66732	2.30426
07/04/2016 14:35	07/04/2016 16:35	0.108974	0.841771	0.32319	1.61027	2.25525
07/04/2016 14:40	07/04/2016 16:40	0.111891	0.868486	0.216746	1.70379	2.28575
07/04/2016 14:45	07/04/2016 16:45	0.0801725	0.85094	0.263917	1.52104	2.18012
07/04/2016 14:50	07/04/2016 16:50	0.0731193	0.813115	0.28927	1.45341	2.10039
07/04/2016 14:55	07/04/2016 16:55	0.074906	0.858965	0.301007	1.6477	2.24008
07/04/2016 15:00	07/04/2016 17:00	0.119513	0.835445	0.264456	1.60312	2.23872
07/04/2016 15:05	07/04/2016 17:05	0.115819	0.842141	0.235771	1.52266	2.25961
07/04/2016 15:10	07/04/2016 17:10	0.106434	0.865049	0.294516	1.61356	2.20272
07/04/2016 15:15	07/04/2016 17:15	0.106396	0.857012	0.261155	1.57705	2.18098
07/04/2016 15:20	07/04/2016 17:20	0.0607663	0.841778	0.266514	1.61053	2.2029
07/04/2016 15:25	07/04/2016 17:25	0.090382	0.833855	0.288837	1.5753	2.19596
07/04/2016 15:30	07/04/2016 17:30	0.0780167	0.828435	0.248001	1.49384	2.14922
07/04/2016 15:35	07/04/2016 17:35	0.0891034	0.799705	0.246887	1.4074	2.03377
07/04/2016 15:40	07/04/2016 17:40	0.102228	0.811045	0.233984	1.52118	2.09083
07/04/2016 15:45	07/04/2016 17:45	0.147925	0.820075	0.2707	1.62057	2.1553
07/04/2016 15:50	07/04/2016 17:50	0.0685527	0.781914	0.284347	1.59255	2.10007
07/04/2016 15:55	07/04/2016 17:55	0.100672	0.807758	0.306322	1.60877	2.07445
07/04/2016 16:00	07/04/2016 18:00	0.123407	0.779607	0.172858	1.46866	2.08663
07/04/2016 16:05	07/04/2016 18:05	0.115517	0.806928	0.33822	1.56833	2.13909
07/04/2016 16:10	07/04/2016 18:10	0.135679	0.782681	0.216105	1.50444	1.97376
07/04/2016 16:15	07/04/2016 18:15	0.0625819	0.785133	0.256357	1.50774	1.99601
07/04/2016 16:20	07/04/2016 18:20	0.104828	0.790136	0.229677	1.594	2.07245
07/04/2016 16:25	07/04/2016 18:25	0.142046	0.790596	0.292462	1.49566	2.00462
07/04/2016 16:30	07/04/2016 18:30	0.079454	0.782545	0.242525	1.50637	2.01009
07/04/2016 16:35	07/04/2016 18:35	0.0834428	0.768707	0.325429	1.6467	1.95052
07/04/2016 16:40	07/04/2016 18:40	0.151546	0.805269	0.325705	2.24379	2.01554
07/04/2016 16:45	07/04/2016 18:45	0.104971	0.772789	0.280427	2.03077	1.9361
07/04/2016 16:50	07/04/2016 18:50	0.109724	0.782867	0.328655	2.25055	1.94941
07/04/2016 16:55	07/04/2016 18:55	0.0898052	0.795541	0.26364	1.87611	2.0141
07/04/2016 17:00	07/04/2016 19:00	0.0960279	0.761047	0.213605	1.83244	1.93081
07/04/2016 17:05	07/04/2016 19:05	0.0925848	0.738381	0.236509	1.46074	1.91288
07/04/2016 17:10	07/04/2016 19:10	0.107228	0.974662	0.411453	1.54989	2.40561
07/04/2016 17:15	07/04/2016 19:15	0.10879	1.02884	0.285243	1.49004	2.5865
07/04/2016 17:20	07/04/2016 19:20	0.0486701	0.641358	0.168707	1.1862	1.6718
07/04/2016 17:25	07/04/2016 19:25	0.0451536	0.495304	0.112654	0.905672	1.33018
08/04/2016 6:27	08/04/2016 8:27	0.0560229	0.812623	0.27779	2.53044	2.19641
08/04/2016 6:32	08/04/2016 8:32	0.0349818	0.814227	0.240577	2.41822	2.12328
08/04/2016 6:37	08/04/2016 8:37	0.0795526	0.775184	0.190699	2.39638	2.08747
08/04/2016 6:42	08/04/2016 8:42	0.0765272	0.778229	0.316891	2.41501	2.06685
08/04/2016 6:47	08/04/2016 8:47	0.0863049	0.705774	0.274715	2.20213	1.97754
08/04/2016 6:52	08/04/2016 8:52	0.0757531	0.659714	0.194963	1.80231	1.89035
08/04/2016 6:57	08/04/2016 8:57	0.0987996	0.592059	0.234166	1.60209	1.70974
08/04/2016 7:02	08/04/2016 9:02	0.0877206	0.553163	0.238542	1.47028	1.64277
08/04/2016 7:07	08/04/2016 9:07	0.107012	0.478396	0.197042	1.15115	1.3563
08/04/2016 7:12	08/04/2016 9:12	0.0638938	0.439167	0.144882	0.949399	1.19531
08/04/2016 7:17	08/04/2016 9:17	0.0789283	0.346749	0.220979	0.984076	1.01682
08/04/2016 7:22	08/04/2016 9:22	0.115649	0.162787	0.20055	0.657101	0.538814
08/04/2016 7:27	08/04/2016 9:27	0.0734589	0.114736	0.131064	0.433928	0.39133
08/04/2016 7:32	08/04/2016 9:32	0.0687397	0.143202	0.141359	0.618605	0.539984
08/04/2016 7:37	08/04/2016 9:37	0.0719496	0.0986222	0.106505	0.525629	0.385457
08/04/2016 7:42	08/04/2016 9:42	0.0952641	0.112826	0.122289	0.591956	0.424663
08/04/2016 7:47	08/04/2016 9:47	0.0713729	0.125633	0.146689	0.706863	0.549606
08/04/2016 7:52	08/04/2016 9:52	0.0755598	0.0923373	0.110252	0.459187	0.400364
08/04/2016 7:57	08/04/2016 9:57	0.0670322	0.0721941	0.10238	0.493403	0.340275
08/04/2016 8:02	08/04/2016 10:02	0.0984945	0.0759167	0.141176	0.481495	0.352558
08/04/2016 8:07	08/04/2016 10:07	0.0986729	0.0893462	0.16791	0.541027	0.459442
08/04/2016 8:12	08/04/2016 10:12	0.0657721	0.0673229	0.124201	0.340676	0.28133
08/04/2016 8:17	08/04/2016 10:17	0.0675241	0.0930659	0.124954	0.490503	0.380323
08/04/2016 8:22	08/04/2016 10:22	0.032902	0.0689044	0.0744028	0.320848	0.270078
08/04/2016 8:27	08/04/2016 10:27	0.07098	0.0716585	0.104886	0.432849	0.295678
08/04/2016 8:32	08/04/2016 10:32	0.0625054	0.0866017	0.174336	0.493213	0.358746
08/04/2016 8:37	08/04/2016 10:37	0.101222	0.0672639	0.0825988	0.375479	0.253968
08/04/2016 9:15	08/04/2016 11:15	0.0904663	0.127103	0.108079	0.508537	0.486057
08/04/2016 9:20	08/04/2016 11:20	0.0628214	0.107543	0.114815	0.495855	0.375787
08/04/2016 9:25	08/04/2016 11:25	0.0772248	0.167794	0.103412	0.510624	0.560294
08/04/2016 9:30	08/04/2016 11:30	0.0954361	0.17313	0.136001	0.720643	0.599985
