PMF_m/z	HOA	BBOA	OOA1	OOA2	OOA3
12	0.00188928	8.7782E-10	0.0160267	0.00942587	0.0197302
13.0078	0.000929967	0.000817167	0.00395644	0.00438986	0.00455504
15.0235	0.00861111	0.0270343	0.0254883	0.0262671	0.0222531
15.9949	0.000040273	0.000127775	0.00212542	0.00128583	0.0021023
16.0313	3.51028E-10	0.0117467	0.0527817	0.00963379	0.0192901
17.0027	0.000253161	0.000799157	0.0132752	0.00804782	0.0130826
18.0106	0.00101327	0.00320305	0.0531008	0.0321913	0.052331
21.9949	6.12418E-05	4.34146E-05	0.00199294	0.000812041	0.00267833
24	0.000131081	9.81242E-10	0.00131494	0.00119732	0.00147373
25.0078	0.00111589	0.000360859	0.00301551	0.00402451	0.00436555
26.0156	0.00711101	0.00715884	0.0123492	0.0204736	0.0178846
27.0109	0.0022897	0.0036991	0.00574902	0.0053443	0.00626896
27.0235	0.0366802	0.0416043	0.0137293	0.0361316	0.021883
27.9949	0.0045034	0.0142363	0.236005	0.143074	0.232568
29.0027	0.00193958	0.0182094	0.019263	0.0450547	0.00245698
29.0391	0.0283606	0.0267957	0.00633386	0.0164434	0
30.0106	0.0124165	0.0381068	0.0314519	0.031794	0.0193859
30.0469	5.2085E-10	5.88669E-10	0.00195391	0.00279418	0.00101389
31.0184	0.000940633	0.0137515	0.00815809	0.00934701	0.0095863
37.0078	0.00192601	0.00204239	0.00222816	0.00425035	0.00344404
38.0157	0.00406028	0.00421477	0.00351749	0.00724483	0.00520529
39.0235	0.0515963	0.0338527	0	0.0242854	0.0379375
40.0313	0.00221469	0.000113875	0.00570039	0.0108359	0.000647908
41.0027	7.20521E-11	0.00639192	0.00121796	0.00333563	0.0117002
41.0391	0.0961636	0.0468918	0.00865364	0.0293629	0.0133743
42.0106	0.000549012	0.0116041	0.0176446	0.0187672	0.0238276
42.047	0.0175547	0.00955005	0.00104699	0.00573982	0.00321735
43.0184	0.00447019	0.0660564	0.025513	0.0599375	0.0444602
43.0548	0.0783332	0.0175224	0.00252595	0.0123645	0.00132589
43.9898	0.0045034	0.0142363	0.236005	0.143074	0.232568
44.0262	1.73694E-10	0.00981752	0.0194207	0.0147848	0.0058281
44.0626	0.000867222	0.0026462	3.52135E-06	0.000534401	0
44.9977	0.000588756	0.00340556	0.00963445	0.00380524	0.00847273
45.034	0.00086645	0.00633723	0.00173402	0.00358239	0.00241481
46.0055	5.36834E-12	1.20142E-11	0.00180097	0.00377447	0.00108774
