PMF Time (UTC)	PMF Time (Local)	HOA	BBOA	OOA1	OOA2	OOA3
07/04/2016 13:15	07/04/2016 15:15	0.223605962	0.028900698	0	0.385702143	0.977628259
07/04/2016 13:20	07/04/2016 15:20	0.166484533	0.033094774	0	0.193154628	1.177761109
07/04/2016 13:25	07/04/2016 15:25	0.216962009	0.008362868	0	0.356853585	1.187070644
07/04/2016 13:30	07/04/2016 15:30	0.225561579	0.009852407	0	0.308775989	1.168995833
07/04/2016 13:35	07/04/2016 15:35	0.143225696	0.001043315	0	0.39635161	1.268519428
07/04/2016 13:40	07/04/2016 15:40	0.109135257	0.015707215	0	0.367114501	1.209022403
07/04/2016 13:45	07/04/2016 15:45	0.100892669	0.0077219	0	0.386343539	1.131451996
07/04/2016 13:50	07/04/2016 15:50	0.122020327	0.011420672	0	0.232424093	1.319251177
07/04/2016 13:55	07/04/2016 15:55	0.081527352	0.018364367	0	0.237101002	1.305831848
07/04/2016 14:00	07/04/2016 16:00	0.074512417	0.040414693	0	0.276364753	1.189087686
07/04/2016 14:05	07/04/2016 16:05	0.078014099	0.000760565	0	0.240619397	1.201188509
07/04/2016 14:10	07/04/2016 16:10	0.096480604	0.012445721	0	0.226857228	1.231285576
07/04/2016 14:20	07/04/2016 16:20	0.068154021	0.00896228	0.003754569	0.327257922	1.076143333
07/04/2016 14:25	07/04/2016 16:25	0.081570064	0.018897627	0	0.250891741	1.217012004
07/04/2016 14:30	07/04/2016 16:30	0.056597456	0	0.039983001	0.463642531	0.981273791
07/04/2016 14:35	07/04/2016 16:35	0.043752527	0.03213925	0.00774667	0.282025898	1.116092764
07/04/2016 14:40	07/04/2016 16:40	0.050284486	0.001673045	0	0.440569399	1.102362022
07/04/2016 14:45	07/04/2016 16:45	0.047138929	0	0	0.256864299	1.14518131
07/04/2016 14:50	07/04/2016 16:50	0.053181341	0.0211418	0.047665902	0.275403372	1.047907602
07/04/2016 14:55	07/04/2016 16:55	0.059274322	0.018093524	0.035402087	0.21748484	1.252927351
07/04/2016 15:00	07/04/2016 17:00	0.061967901	0	0.001520353	0.21181798	1.260142704
07/04/2016 15:05	07/04/2016 17:05	0.072916925	0.006507432	0.036714593	0.282031612	1.067765181
07/04/2016 15:10	07/04/2016 17:10	0.046335969	0.014341569	0	0.315457084	1.100113563
07/04/2016 15:15	07/04/2016 17:15	0.059928289	0.005568522	0.019550737	0.163067561	1.241136512
07/04/2016 15:20	07/04/2016 17:20	0.036246759	0.026893798	0	0.385773568	1.073583461
