PMF_m/z	OOAa	OOAb	OOAc
12	0.009117889	0.00832041	0.0207663
13.0034	9.87764E-05	9.00381E-05	0.000221279
13.0078	0.005459803	0.00433256	0.00608665
14.0112	5.90035E-05	4.69714E-05	6.60779E-05
15.0235	0.038761686	0.0318101	0.0247501
15.9949	0.001043254	0.00121465	0.00221921
16.0268	0.000414824	0.000346361	0.000267177
17.0027	0.006514892	0.00758019	0.013889
17.9992	2.12025E-06	2.50228E-06	4.54266E-06
18.0106	0.026059496	0.0303209	0.0555556
24	0.001247489	0.000968217	0.0016515
25.0034	2.7048E-05	0.000020832	3.59215E-05
25.0078	0.004478467	0.00348784	0.00513841
26.0112	9.66723E-05	7.53909E-05	0.000112077
26.0156	0.021695859	0.0185234	0.0224364
27.019	0.000469912	0.00039626	0.000487466
27.0235	0.052460779	0.0459174	0.028401
27.9949	0.115819718	0.134759	0.246913
28.9983	0.001252508	0.00145913	0.0026702
29.0027	0.059958391	0.0385144	1.67952E-09
31.0139	0.000189903	0.000132769	0.000147762
37.0078	0.004954085	0.00447422	0.00463992
38.0112	0.00016059	0.000141861	0.000147464
38.0157	0.008344246	0.00791985	0.00748171
39.019	0.000270614	0.000253816	0.00024207
39.0235	0.044987866	1.1315E-09	0.018032
40.0268	0.001408962	0.00061827	0.00057274
40.0313	0.01009175	0.0118696	1.02113E-09
41.0027	0.003862402	3.34444E-10	0.00126158
41.0347	0.000328529	0.00034911	4.08401E-05
41.0391	0.042358476	0.0392715	0.0106719
42.0061	8.92029E-05	5.29002E-05	5.85778E-05
42.0106	0.027987817	0.0300658	0.03054
42.0425	0.001378893	0.00126848	0.000340736
42.047	0.008041541	0.00614175	0.00209032
43.0139	0.00060451	0.000653501	0.000661682
43.0184	0.103036469	0.110178	0.050829
43.0503	0.000261714	0.000200063	6.82469E-05
43.9898	0.115819718	0.134759	0.246913
44.0217	2.22E-03	0.00240358	0.00109036
44.9932	0.001252723	0.00145803	0.00267025
44.9977	0.010887537	0.0144651	0.0128032
45.9941	0.000476209	0.000554424	0.00101389
46.9955	2.99342E-05	7.72708E-05	0.000257636
47.0133	0.001370047	0.00115067	0.000755398
49.0078	0.00113995	0.00119691	0.00141005
50.0112	4.93804E-05	5.15575E-05	6.15126E-05
50.0157	0.00593621	0.00625503	0.00638039
51.019	0.000256805	0.000270102	0.000276664
51.0235	0.008197819	0.00863778	0.00783544
52.0268	0.000354648	0.000373435	0.000339119
52.0313	0.004963126	0.00514413	0.00549055
53.0027	2.34E-03	0.00306417	0.00328623
53.0347	0.000214655	0.000222591	0.000237671
53.0391	0.011808022	0.0130178	0.00708177
54.0061	7.58667E-05	9.91121E-05	0.000107119
54.0106	0.002665012	0.00347051	0.00402148
54.0425	0.000510404	0.000562858	0.000306895
54.047	0.004470358	0.00466456	0.00328428
55.0139	8.6523E-05	0.000112494	0.000130495
55.0184	0.020590531	0.0240896	0.0139414
55.0503	0.000192346	0.000201815	0.000141671
55.0548	0.011429249	0.00990294	0.0010781
56.0217	0.000667958	0.000777111	0.000454201
56.0262	0.005010379	0.00565509	0.00406185
56.0581	0.000493823	0.000426892	4.92043E-05
57.0296	0.000162497	0.000183929	0.00013239
57.034	0.008148864	0.00812413	0.00264411
57.0704	0.001386866	0.0010284	0.000156447
58.0055	0.001171594	0.00133635	0.00156784
58.0374	0.000265703	0.000264778	8.37819E-05
58.0419	0.007205534	0.00606109	0.00124857
58.0738	5.43524E-05	4.45851E-05	9.04062E-06
58.0783	1.95694E-05	2.6339E-11	0.000110215
58.9687	2.97243E-05	3.65858E-05	0.000212962
59.0133	0.000609526	0.00108363	0.00108778
59.0452	0.000233731	0.000196813	4.00059E-05
59.0497	0.004255291	0.00532658	0.00114453
59.0816	1.47274E-06	2.57547E-08	5.8444E-06
60	1.7844E-09	4.44353E-10	7.19113E-05
60.0211	0.003413486	0.00421055	0.00237761
60.053	0.000138023	0.000174027	3.79565E-05
60.9748	2.80162E-05	4.73005E-05	0.000164585
61.0033	4.09304E-09	1.70184E-09	1.03203E-05
61.0078	0.000413014	0.000658942	0.000685692
61.0289	0.001247358	0.00114738	0.000540922
62.0112	2.22369E-05	3.57609E-05	3.70592E-05
62.0157	0.001291373	0.00145074	0.00133228
63.019	6.96698E-05	7.66599E-05	7.80977E-05
63.0235	0.002824755	0.00306353	0.0029109
64.0268	1.53E-04	0.000164664	0.000160238
65.0391	0.005540436	0.00609906	3.69E-03
66.0106	0.000266008	0.000599389	0.000614095
66.0425	0.000299829	0.000329346	0.000200168
66.047	0.002788884	0.00317175	0.00246718
67.0139	1.15651E-05	0.000025778	2.85419E-05
67.0184	0.000391104	0.00145234	0.000941013
67.0503	0.000150723	0.000171467	0.000134041
67.0548	9.19E-03	0.00915255	0.00254163
67.9898	8.03916E-05	0.00030828	0.000448373
68.0217	1.71176E-05	6.12667E-05	4.55598E-05
68.0262	0.00304735	0.00426753	0.0039368
68.0581	0.000495083	0.000495175	0.000136322
68.9977	0.001637013	0.00298355	0.00254217
69.0296	0.00013174	0.000184605	0.000170868
69.034	0.005072127	0.00650138	0.00347003
70.0055	0.00053462	0.00101968	0.00105204
70.0374	0.000219407	0.000281215	0.000150336
70.0419	0.003578372	0.00387237	0.00189095
71.0133	0.002783157	0.00418995	0.00268023
71.0452	0.000154745	0.000167703	8.20433E-05
71.0497	0.005143176	0.00504461	0.00040737
72	6.76944E-10	0.000018314	1.2602E-06
72.0211	0.00106804	0.00160211	0.00107463
72.053	0.000222148	0.000219075	1.61E-05
72.0575	9.46E-04	0.000763445	0.000438257
72.0939	8.9084E-06	1.56E-10	4.04E-05
73.0034	3.09E-08	2.04016E-06	3.4004E-07
73.0078	4.74468E-05	0.000260828	4.20E-04
73.029	0.000701872	0.00307087	1.69274E-10
73.0609	4.0893E-05	3.31125E-05	1.91126E-05
73.0973	8.82561E-07	7.2833E-09	2.87789E-06
74.0112	4.00113E-06	1.71375E-05	0.000028872
74.0368	0.00163184	0.00153704	0.000640213
74.0732	2.90085E-05	3.11889E-11	8.49587E-05
75.0446	0.001120742	0.000972047	8.26209E-10
75.0765	1.43153E-06	1.64995E-09	4.28425E-06
75.9441	1.63628E-05	1.41726E-05	5.85666E-05
76.0313	0.000967043	0.000624589	0.00128661
77.0027	2.08796E-11	6.58304E-05	6.75E-11
77.0347	6.27965E-05	4.05709E-05	8.44648E-05
77.0391	0.0064945	0.00666261	0.00319972
77.9775	9.84218E-05	0.000183341	0.000233354
