PMF_m/z	HOA	BBOA	LO-OOA	MO-OOA
13	0.000938579	0.005384878	0.001718703	0.002556696
15	0.00024779	0.035454892	0.006485241	0.005613628
16	0.00053054	0.001689309	0.006202419	0.009992129
17	0.003315877	0.010558182	0.038765118	0.062450808
18	0.013263508	0.042232729	0.15506047	0.24980323
24	0.000659299	0.001538086	0.00065675	0.001183893
25	0.00190781	0.00413542	0.002701504	0.003567184
26	0.011661386	0.018508224	0.016418738	0.018192396
27	0.038766935	0.044331424	0.042713061	0.035409886
29	0.046462312	0.087085746	0.069512755	0.067275263
30	0.000974493	0.005511528	0.000293595	0.000523537
31	0.001849798	0.021038489	0.016367426	0.015583823
37	0.002628604	0.006007917	0.015980279	0.005654823
38	0.003974243	0.007310454	0.005593903	0.004209963
41	0.08383289	0.045421772	0.027074367	0.017221924
42	0.022714986	0.028338056	0.021829659	0.01905318
43	0.10070802	0.078134336	0.052363779	0.049465377
44	0.013263508	0.042232729	0.15506047	0.24980323
45	0.001699313	0.014507865	0.011048642	0.014124298
48	0.000594572	0.000429455	0.001190698	0.000632589
49	0.000544395	0.001778942	0.00030973	0.000431657
50	0.004071684	0.005646686	0.003976404	0.002925433
51	0.006646001	0.009572214	0.00647367	0.003652444
52	0.003409944	0.00628301	0.004081721	0.002618233
53	0.011071807	0.012864939	0.00812284	0.006089668
54	0.009472989	0.009767239	0.006722102	0.004188901
55	0.076784663	0.041077025	0.021921117	0.012106024
56	0.023358418	0.014631634	0.008134878	0.004257468
57	0.078447104	0.029808436	0.006602045	0.002019609
58	0.007008816	0.00592931	0.003986579	0.004481333
59	0.000853502	0.0045274	0.002743702	0.003512685
60	0.000682064	0.021780828	0.010631256	0.002584353
61	0.000933508	0.004232961	0.002421764	0.001309965
62	0.001164075	0.002192027	0.00168539	0.00096316
63	0.00324575	0.003781125	0.004094598	0.001637606
64	0.004143131	0.004765994	0.004252461	0.002383958
65	0.009923421	0.009201814	0.00693621	0.003575868
66	0.003294177	0.00427666	0.003053956	0.001790627
67	0.026508708	0.013636712	0.008702362	0.00368151
68	0.010534799	0.009570872	0.006517856	0.003600604
69	0.045333814	0.021433871	0.010966435	0.00497266
70	0.013174324	0.008600826	0.005595062	0.002804191
71	0.034071855	0.013259691	0.004540433	0.003588767
72	0.002447263	0.002954922	0.002001774	0.001820991
73	0.001303698	0.012778303	0.006894311	0.002707744
74	0.001674339	0.003829133	0.002839479	0.001624857
75	0.001265583	0.002708126	0.002117231	0.00110604
76	0.001450331	0.002790592	0.002721782	0.001673456
77	0.008853641	0.009889754	0.00747369	0.003113034
78	0.004267076	0.005101612	0.003923002	0.001589998
79	0.013513778	0.009653842	0.006710502	0.003348533
80	0.002182627	0.004123598	0.002669468	0.000827515
81	0.022850974	0.012808227	0.008453646	0.002659893
82	0.008302168	0.006771782	0.005542342	0.002964301
83	0.025846308	0.01079068	0.006845481	0.0026058
84	0.009999303	0.005539295	0.004612322	0.001945913
85	0.017385129	0.008173521	0.004943231	0.003099405
86	0.001968765	0.002554589	0.001627408	0.001454079
87	0.001198182	0.00315203	0.002577536	0.002043205
88	0.000563752	0.001593797	0.001497182	0.000824973
89	0.001556986	0.003693401	0.002723614	0.001575646
90	0.000690934	0.001697761	0.001463037	0.00091395
91	0.013606569	0.012002015	0.008792425	0.002909209
92	0.003556498	0.003593025	0.003266252	0.001209235
93	0.008868943	0.006800115	0.004351587	0.00131162
94	0.002889559	0.004601575	0.003994554	0.001283618
95	0.019976709	0.011974758	0.007969532	0.001705149
96	0.004473551	0.005486474	0.00438734	0.002127553
97	0.018112015	0.00808466	0.005141567	0.002608739
98	0.005911041	0.003945922	0.003458633	0.00159607
99	0.003244802	0.003886408	0.003192476	0.003847237
100	0.000701383	0.00096391	0.002385042	0.001779658
101	0.00084381	0.002742042	0.002772237	0.001893328
102	0.000935019	0.002553533	0.002656494	0.001067217
103	0.001962556	0.003197118	0.003657108	0.001805518
104	0.002419044	0.002087313	0.003280453	0.001509366
105	0.009402148	0.006949669	0.007159222	0.002211187
106	0.002671723	0.002745519	0.003623507	0.001001127
107	0.005627624	0.007220785	0.006183968	0.001121796
108	0.001984255	0.003348692	0.003763759	0.001261556
109	0.010188453	0.006487642	0.00701026	0.001671428
110	0.002062109	0.003624886	0.00423927	0.001501058
111	0.006445347	0.003468056	0.004927611	0.002662185
112	0.00153471	0.00163742	0.002986258	0.001627741
113	0.002035725	0.002124984	0.003885412	0.002484381
114	0.000535931	0.001427476	0.002257577	0.001213009
115	0.003749637	0.007816714	0.007517593	0.002279029
116	0.001578498	0.002224244	0.003277334	0.001080671
117	0.0042478	0.003940043	0.005350064	0.00111091
118	0.001948656	0.002079134	0.004198737	0.001337173
119	0.006491646	0.003909204	0.007166564	0.00138933
