PMF_m/z	HOA	BBOA	LO-OOA	MO-OOA
13	0.000806607	0.005159256	0	0.003047679
15	0.000331067	0.035950664	0.024201382	0.021949353
16	0.00055846	0.001879173	0.004139767	0.008724881
17	0.003490373	0.011744829	0.025873542	0.054530501
18	0.013961492	0.046979316	0.10349417	0.21812201
24	0.000587162	0.001433309	4.24E-05	0.001759912
25	0.001649977	0.003501082	0.001117626	0.00440707
26	0.009979336	0.016413994	0.010200918	0.020814704
27	0.03661659	0.042305734	0.038010523	0.042765073
29	0.039273359	0.08797472	0.068137474	0.079516016
30	0.000863385	0.005567496	0	0.000844062
31	0.001482891	0.023502318	0.022015013	0.013466006
37	0.001849866	0.00416989	0.002499097	0.003740262
38	0.003148738	0.006600278	0.004980502	0.00553751
41	0.088178217	0.039575245	0.011816627	0.024016472
42	0.020606901	0.024367213	0.021613194	0.023874255
43	0.095439084	0.062980473	0.043676473	0.059422221
44	0.013961492	0.046979316	0.10349417	0.21812201
45	0.00143292	0.014928002	0.012129218	0.014070849
48	0.000508956	0.000448296	0.002222992	0.000563002
49	0.000463408	0.001806085	6.43E-05	0.000777889
50	0.003486188	0.005831787	0.004580161	0.003747755
51	0.005617524	0.009636497	0.007492803	0.004576191
52	0.002816421	0.006229523	0.005151808	0.003537147
53	0.009440662	0.012241608	0.009550516	0.008519908
54	0.010149146	0.009426913	0.008254794	0.005940335
55	0.081537865	0.03710049	0.022921182	0.013343362
56	0.022154193	0.013897806	0.011195918	0.00498145
57	0.079066157	0.031083692	0.009997373	0
58	0.006328296	0.005285567	0.004765041	0.006681392
59	0.000814751	0.004264816	0.003068824	0.003963026
60	0.000643337	0.022943379	0.016311495	0
61	0.000805217	0.004429992	0.003814469	0.00087264
62	0.000948363	0.002624531	0.002655193	0.000989301
63	0.002751756	0.004224348	0.007693761	0.002572533
64	0.003366165	0.00495228	0.006070802	0.003073524
65	0.008836826	0.009366385	0.009138038	0.005140831
66	0.002787523	0.004716714	0.004711561	0.002662079
67	0.030765761	0.013652739	0.009986565	0.00514317
68	0.010750086	0.010296826	0.010122162	0.004988797
69	0.045799792	0.021791957	0.01943207	0.005147966
70	0.01392059	0.00818979	0.008355073	0.003860257
71	0.032958981	0.013571202	0.006038694	0.004092961
72	0.002551112	0.002927219	0.002895324	0.002043928
73	0.0015071	0.013882299	0.016456524	0.002244757
74	0.001313801	0.004586392	0.005373944	0.001509554
75	0.000993583	0.003270815	0.003930835	0.001041906
76	0.00135827	0.003393716	0.004996631	0.001493919
77	0.007232905	0.011053465	0.011502436	0.004269284
78	0.003961248	0.005510228	0.00556057	0.002294665
79	0.014170595	0.010461162	0.007978035	0.006028961
80	0.00249448	0.004180042	0.004443784	0.001073648
81	0.025656179	0.013513654	0.009944214	0.003657429
82	0.009881427	0.00703994	0.007447243	0.003881938
83	0.031184919	0.010293897	0.00966139	0.002363379
84	0.010716749	0.005484036	0.005456593	0.002668459
85	0.017380087	0.008672103	0.008750301	0.002550292
86	0.001892993	0.002614379	0.002905885	0.001418658
87	0.001141769	0.00343536	0.00432854	0.00173416
88	0.000489606	0.00186267	0.002662423	0.000549698
89	0.0012686	0.004260928	0.004575205	0.001611314
90	0.000586906	0.001978346	0.002415006	0.000726671
91	0.013329811	0.012513313	0.012900172	0.003957352
92	0.003515971	0.003722383	0.004403337	0.001331628
93	0.009085403	0.006692984	0.005992148	0.001644271
94	0.003301365	0.004593774	0.006878712	0.001471867
95	0.020580564	0.013081947	0.01071397	0.00204373
96	0.005339943	0.005876102	0.007382038	0.002481346
97	0.019020934	0.00837501	0.008081885	0.002304058
98	0.006560877	0.004021422	0.004699779	0.001607512
99	0.003867599	0.003807258	0.004460348	0.003738614
100	0.000794541	0.0011207	0.003636519	0.001612226
101	0.000782459	0.003120065	0.004471765	0.001502179
102	0.000755978	0.00297445	0.004316295	0.000784477
103	0.001579397	0.003773272	0.005362114	0.001681835
104	0.00228945	0.002493712	0.005126927	0.001137182
105	0.009017693	0.007205715	0.010405939	0.00145589
106	0.002659386	0.003069792	0.004963837	0.000731001
107	0.005687183	0.00690679	0.00795708	0.000810931
108	0.002046166	0.003503803	0.004987573	0.001170778
109	0.011117598	0.006280302	0.008513093	0.00118556
110	0.002598841	0.003870362	0.005435148	0.001160147
111	0.007386393	0.003687043	0.006591977	0.00174939
112	0.001838805	0.002013994	0.004520503	0.000929176
113	0.002270864	0.002508797	0.005724245	0.001432682
114	0.000550441	0.001685163	0.002966333	0.000645416
115	0.003157002	0.007908733	0.010260943	0.001402386
116	0.001572587	0.002575702	0.003667206	0.000570231
117	0.004152357	0.003981056	0.005771355	0.000731498
118	0.001651386	0.002601679	0.004984299	0.00054683
119	0.005013056	0.00468098	0.007408552	0.000513721
120	0.001757757	0.002907537	0.005093311	0.00059711
