HOA - Autumn	BBOA - Autumn	OOA - Autumn
		
		
		
		
		
		
0.000597093	0.0023697	0.00842082
0.00374267	0.0148133	0.0526267
0.0149203	0.0592657	0.210521
		
		
		
		
		
0.000594526	0.00103371	0.000882332
0.00152133	0.00247511	0.00364616
0.00911287	0.00988357	0.0197017
0.0420766	0.0420267	0.0436289
		
0.037054	0.10542	0.0796647
0.00160889	0.00401504	0.00116133
0.00281468	0.0382446	0.013258
		
		
		
		
		
0.00238017	0.00296448	0.00350948
0.00472318	0.00466674	0.00572836
		
		
0.0950672	0.0392987	0.0263556
0.0230738	0.0243857	0.0270129
0.102609	0.0732048	0.0716457
0.0149203	0.0592657	0.210521
2.84E-03	0.0219444	0.0137738
		
		
0.000431058	0.000565546	0.000791564
0.000493252	0.00130254	0.00066271
0.00340791	0.00386255	0.00432512
0.00560569	0.00699737	0.0059351
0.00292744	0.00430512	0.00451949
0.0116706	0.0102737	0.0103028
0.0112299	0.00676351	0.00615661
0.0864062	0.0439352	0.0185337
0.0258318	0.0193528	0.00565452
0.0821091	0.0483975	0
0.00652512	0.00677545	0.00629879
0.00141385	0.00518422	0.00371931
0.00272736	0.0430625	0.00117699
0.00138278	0.00681916	0.00102843
0.00101152	0.00238446	0.00117428
0.00248121	0.00471171	0.00221565
0.00355607	0.00348379	0.00397345
0.010389	0.00722955	0.00673769
0.00317547	0.00298317	0.00357061
0.0352207	0.0125487	0.00599177
0.0111553	0.00820042	0.00611059
0.046532	0.0284446	0.00659448
0.0149039	0.00995876	0.00428528
3.45E-02	0.019544	0.00394116
0.00260932	0.00395854	0.00188139
0.00290072	0.0226977	0.00201876
0.00129933	0.00587555	0.00185069
0.00103645	0.00284586	0.00140142
0.00139286	0.00297165	0.00182803
0.00878151	0.00820183	0.00671296
0.00406619	0.0032013	0.00350227
0.0165461	0.00755434	0.00722638
0.00303622	0.00277095	0.00206588
0.0311827	0.0132912	0.00504975
0.00955606	0.00510903	0.00491375
0.0299109	0.0130181	0.00390407
0.0089932	0.00630449	0.00286744
0.0176303	0.0113423	0.00362315
0.00191975	0.00291473	0.00170501
0.00111395	0.00442388	0.00248174
0.000315918	0.00178293	0.000903143
0.001105	0.00405931	0.00231724
0.000419993	0.00149608	0.00127834
0.0128151	0.00950213	0.00786722
0.00303036	0.00267215	0.00243654
0.00985848	0.00651671	0.00347101
0.0036094	0.00337009	0.00290254
0.0246128	0.013893	0.00437423
0.00595651	0.00459324	0.00412112
0.0207916	0.0123342	0.0032891
0.00569278	0.00446618	0.00239513
0.00417144	0.0050545	0.00417882
0.000874236	0.00141373	0.00167524
