HOA - Spring	BBOA - Spring	OOA - Spring
		
		
		
		
		
		
0.000577304	0.00233865	0.00791396
0.00361851	0.0146186	0.0494578
0.0144254	0.0584897	0.197836
		
		
		
		
		
0.000574829	0.00102017	0.00162646
0.00147102	0.00340317	0.00452625
0.00881078	0.0185426	0.0212566
0.0406817	0.0496513	0.0477038
		
0.0437883	0.12052	0.090632
0.00155562	0.0039626	0.00115384
0.00272143	0.037744	0.0229604
		
		
		
		
		
0.00230143	0.00428678	0.00381215
0.00456658	0.00784639	0.00579153
		
		
0.0919142	0.0361219	0.0246073
0.0229023	0.0303417	0.027997
0.121254	0.0638123	0.082536
0.0144254	0.0584897	0.197836
0.00274405	0.021001	0.0195805
		
		
0.00050938	0.000558137	0.00118683
0.000476896	0.00128542	0.000930622
0.00329495	0.00616739	0.00410694
0.00541982	0.0104328	0.00512051
0.00283057	0.00657579	0.00361354
0.0112826	0.0129954	0.00983777
0.0108569	0.00927143	0.00663885
0.0922171	0.0391849	0.0171834
0.02162	0.0171441	0.00632309
0.0793866	0.0425384	0
0.00749316	0.00635265	0.00737571
0.00167094	0.00407411	0.0043167
0.00263705	0.0424973	0.00268076
0.00133682	0.00651356	0.00122501
0.000977976	0.00310851	0.00112334
0.00239893	0.00529343	0.00378448
0.00343833	0.00552715	0.00302665
0.0100447	0.008724	0.00518812
0.00307028	0.00449415	0.00247635
0.0344195	0.00978076	0.00478845
0.0107854	0.0100022	0.00559694
0.0449884	0.0220008	0.00681291
0.0144105	0.0101276	0.00413037
0.0333858	0.0139458	0.0045798
0.0030834	0.00399989	0.00255177
0.00280454	0.0216127	0.00236544
0.00125638	0.00661449	0.0019749
0.00100209	0.00386226	0.00131137
0.0011018	0.0038565	0.00195588
0.00849031	0.0105852	0.00439124
0.0039313	0.00488256	0.00190152
0.0159968	0.00673129	0.00521022
0.00293554	0.00273458	0.00160495
0.0301491	0.0101813	0.00403687
0.00923932	0.00579063	0.00397952
0.0261379	0.00807576	0.00416161
0.00869503	0.00540258	0.00320026
0.0170444	0.00772241	0.00457065
0.00225566	0.00312604	0.00188088
0.00107705	0.00453815	0.00222101
0.000305438	0.00168288	0.000875748
0.0010683	0.004351	0.00159136
0.00040607	0.00170476	0.000900228
0.012391	0.0079272	0.00466059
0.00292978	0.00258343	0.00155396
0.00953151	0.00445616	0.00252232
0.00348964	0.00351738	0.00224538
0.0237962	0.0104284	0.00347474
0.00575906	0.00519732	0.00322726
0.017054	0.00864249	0.00345019
0.00550399	0.00388849	0.00250826
0.00424633	0.00372229	0.00454655
0.0010331	0.00139528	0.00185156
