HOA - Summer	BBOA - Summer	OOA - Summer
		
		
		
		
		
		
0.000572764		0.00686595
0.00359018		0.042911
0.0143124		0.171651
		
		
		
		
		
0.000570302		0.00179414
0.00145935		0.00483026
0.00874157		0.0227533
0.0403622		0.051862
		
0.0434431		0.0884033
0.00182095		0.00180368
0.0027		0.0200475
		
		
		
		
		
0.00186806		0.00430351
0.003707		0.00703438
		
		
0.0911937		0.0282821
0.0185907		0.0335568
0.120299		0.0928049
0.0143124		0.171651
2.72E-03		0.0195155
		
		
0.00045919		0.000641673
0.000387128		0.00101665
0.00326905		0.00502684
0.00537728		0.00728821
0.00280817		0.00597037
0.0111951		0.012395
0.0107722		0.00726627
0.101305		0.0171362
0.0237021		0.00654794
0.0787635		3.80371E-12
0.00743447		0.00761267
0.00135624		0.00502183
0.00261623		0.00402772
0.00108527		0.00157934
0.000918267		0.00128337
0.00194744		0.0030589
0.00341118		0.00472935
0.0099657		0.00792471
0.00304609		0.00331393
0.0341477		0.00534914
0.0107008		0.00642914
0.0446361		0.00738698
0.0142966		0.00502636
3.31E-02		0.0050798
0.00250301		0.00278479
0.00227644		0.00365437
0.00101984		0.00230723
0.00081344		0.00181368
0.00109326		0.00229248
0.00842371		0.00820455
0.00390051		0.00430661
0.0158719		0.00694182
0.00291251		0.00186647
0.0299122		0.00451798
0.00916671		0.00519336
0.0312198		0.00334375
0.00813519		0.00359568
0.016912		0.00414343
0.00183107		0.00195773
0.00087427		0.00317413
0.000303046		0.00103655
0.00105997		0.00300308
0.00040288		0.0015393
0.012293		0.00530215
0.00290689		0.00163974
0.0094568		0.00248658
0.00346234		0.00255243
0.0236099		0.00390414
0.00571381		0.00377246
0.016921		0.0039843
0.00517523		0.00286948
0.00400148		0.00493833
0.000838615		0.00169041
