PMF_m/z	HOA	COA	BBOA	OOA1	OOA2
12	0.00475118	0.00788283	0.00990038	0.00479499	0.0150935
13.0034	5.23465E-05	9.97221E-05	0.000106567	4.54328E-05	0.000165404
13.0078	0.00222692	0.0033308	0.00639905	0.00266963	0.00561495
14.0112	2.34232E-05	4.51366E-05	6.91179E-05	2.71605E-05	6.03096E-05
15.0235	0.0159614	0.0254703	0.0459967	0.0260613	0.0309508
15.9949	0.00031936	0.000282299	0.000682369	0.000950805	0.00157187
16.0268	0.000175199	0.000289135	0.000496532	0.000273948	0.000339566
17.0027	0.00199475	0.00176524	0.00426487	0.00594461	0.00982244
17.9992	6.76518E-07	3.85161E-07	1.4101E-06	1.97862E-06	3.24898E-06
18.0106	0.00797843	0.00706257	0.0170592	0.0237787	0.0392902
24	0.000592331	0.000826043	0.00158012	0.000472939	0.00154754
25.0034	1.23541E-05	2.52714E-05	3.41138E-05	0.000008756	3.33194E-05
25.0078	0.00219964	0.0031773	0.00564785	0.00174709	0.00520062
26.0031	0.000180786	0.000979873	0	0.00176294	0.000174107
26.0112	4.58753E-05	9.54605E-05	0.000121913	0.000032664	0.000111609
26.0156	0.0121206	0.0176996	0.0272862	0.00967417	0.0236634
27.0109	0.0032362	0.00461539	0.00414	0.00609046	0.00550939
27.019	0.000252095	0.000496235	0.000592401	0.000180174	0.000512439
27.0235	0.0317981	0.0509962	0.0418329	0.0363834	0.0354836
27.9949	0.0354618	0.0313893	0.075821	0.105678	0.174621
28.9983	0.000384471	0.000327083	0.00082061	0.0011488	0.00188511
29.0027	0	0.0272098	0.051521	0.0746983	0.0229696
29.0391	0.0301628	0.029729	0.0160317	0.0256255	0.00934246
29.9992	7.39003E-05	6.44502E-05	0.000155557	0.00021754	0.000359116
30.0061	0	0	0.000604713	0.000777166	0.000409398
30.0344	0.00247322	9.13536E-10	0	0	0
30.0425	0.000654588	0.000719268	0.000345956	0.000536121	0.000204767
31.0139	8.91372E-05	0	9.91633E-05	0.00102933	0.000654436
31.0184	0.00400135	0.0113186	0.0241801	0.0211799	0.0178351
31.0422	0.000941099	0	0.000438764	0.00136101	0.000868502
36	0.000429646	0.000553615	0.000931165	0.00115612	0.000750696
37.0033	1.50051E-05	1.63504E-05	3.16339E-05	4.46134E-05	2.26087E-05
37.0078	0.00220545	0.00461284	0.00560386	0.0023614	0.00470261
38.0112	6.66721E-05	0.000172084	0.000185023	6.49703E-05	0.000156444
38.0157	0.00403513	0.00827259	0.00933527	0.00419724	0.00751249
39.019	0.000125387	0.000313582	0.000304294	0.000123023	0.000246072
39.0235	0.0264695	0.0527131	0.042509	0.0135915	0.0306117
40.0268	0.000858791	0.00175874	0.00138229	0.00040742	0.00101108
40.0313	0.00528205	0.0118833	0.0084229	0.00718855	0.00506235
41.0027	6.63E-04	5.67729E-11	0.00595368	0	0.00410072
41.0347	0.00017423	0.000384133	0.000274921	0.00022434	0.000167537
41.0391	0.0729434	0.0649122	0.0306342	0.0335762	0.0258143
42.0061	1.95032E-05	0	0.000117084	2.50725E-05	9.53363E-05
42.0106	0.00595008	0.0120672	0.0205342	0.0177629	0.0185608
42.0344	0.006375	0.00412097	0.00254056	0.00704467	0.00234481
42.0425	0.00232079	0.00271579	0.000974223	0.00097654	0.000820817
42.047	0.011907	0.011393	0.00600349	0.00518552	0.00481587
43.0139	0.00012881	0.000278057	0.000446142	0.000376504	0.000399996
43.0184	0.0150871	0.0610816	0.0459386	0.095897	0.0494813
43.0503	0.000380096	0.000472174	0.000190748	0.000151027	0.000152614
43.0548	0.0828431	0.0310499	0.0163179	0.00834267	0.012629
43.9898	0.0354618	0.0313893	0.075821	0.105678	0.174621
44.0217	3.59E-04	0.000845729	0.00101741	0.00213584	0.00110582
44.0262	0.00363618	0.00285769	0.00818771	0.00982593	0.00355245
44.05	0.00322367	9.7629E-10	0.00103421	0.00412403	0
44.0581	0.00268802	0.000962148	0.00052722	0.000283166	0.00041654
44.0626	0.000432375	0	0	3.56964E-05	3.91243E-05
44.9932	0.000390349	0.000240089	0.000824753	0.00115885	0.00189199
44.9977	0.000341796	0.00362194	0.003973	0.012215	0.00782462
45.034	0.00303861	0.00477953	0.0088138	0.00994954	0.00370202
45.0578	0.000847114	1.05549E-05	0.000482206	8.44E-04	0.000458887
45.066	1.68939E-05	0	0	2.13066E-06	4.59777E-06
45.9941	0.00014833	0.000091249	0.000313395	0.000440334	0.00071893
46.0374	6.90929E-05	6.74503E-05	0.000192738	2.22E-04	8.30917E-05
