PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	COA	BBOA	OOA1	OOA2
03/02/2014 9:33	03/02/2014 9:37	3.14872	0.129119	0	2.05327	0
03/02/2014 9:37	03/02/2014 9:41	3.20202	0.377665	0	1.82067	0
03/02/2014 9:41	03/02/2014 9:46	3.45832	0.0545465	0.327731	1.70023	0
03/02/2014 9:46	03/02/2014 9:51	3.40965	0.0158294	0.0225777	2.03134	0
03/02/2014 9:51	03/02/2014 9:55	3.50235	0.0602113	0.289615	1.97261	0
03/02/2014 9:55	03/02/2014 10:00	3.76136	0.148554	0.208061	1.91199	0
03/02/2014 10:00	03/02/2014 10:05	4.04972	0	0.499721	1.56062	0
03/02/2014 10:05	03/02/2014 10:09	3.41613	0.00561443	0.130073	2.0954	0
03/02/2014 10:09	03/02/2014 10:14	4.14143	0	0.260518	2.19314	0
03/02/2014 10:14	03/02/2014 10:19	4.92535	0	0.799198	1.71119	0
03/02/2014 10:19	03/02/2014 10:23	4.75669	0	1.01905	1.9582	0
03/02/2014 10:23	03/02/2014 10:28	5.02561	0	1.05191	1.92201	0
03/02/2014 10:28	03/02/2014 10:33	4.45959	0	0.181916	2.39911	0
03/02/2014 10:33	03/02/2014 10:37	3.95736	0.0824629	0.468264	2.11905	0
03/02/2014 10:37	03/02/2014 10:42	3.51935	0.0772576	0.408938	1.99297	0
03/02/2014 10:42	03/02/2014 10:47	3.57542	0	0.352815	2.00691	0
03/02/2014 10:47	03/02/2014 10:51	2.68439	0.0480267	0.0389744	1.94676	0
03/02/2014 10:51	03/02/2014 10:56	2.45487	0.305071	0.247452	1.84699	0
03/02/2014 10:56	03/02/2014 11:01	2.76341	0.307756	0.142544	2.26957	0
03/02/2014 11:01	03/02/2014 11:05	2.41474	0.111034	0.315216	2.01443	0
03/02/2014 11:05	03/02/2014 11:10	2.53866	0.0841687	0.371392	1.90635	0
03/02/2014 11:10	03/02/2014 11:15	2.29836	0.189486	0.367638	1.826	0
03/02/2014 11:15	03/02/2014 11:19	1.66879	0.171437	0.172355	1.56156	0
03/02/2014 11:19	03/02/2014 11:24	1.79495	0.185376	0.0268474	1.57821	0
03/02/2014 11:24	03/02/2014 11:29	1.35363	0.235843	0	1.28623	0
03/02/2014 11:29	03/02/2014 11:33	1.56695	0.412674	0	1.3456	0
03/02/2014 11:33	03/02/2014 11:38	1.43576	0.237721	0	1.36242	0
03/02/2014 11:38	03/02/2014 11:43	1.23858	0.231553	0	1.1786	0
03/02/2014 11:43	03/02/2014 11:47	1.61952	0.317623	0	1.20657	0
03/02/2014 11:47	03/02/2014 11:52	1.33624	0.200045	0	1.22834	0
03/02/2014 11:52	03/02/2014 11:57	1.86861	0.311067	0	1.13231	0
03/02/2014 11:57	03/02/2014 12:01	2.30953	0.210188	0	1.1546	0
03/02/2014 12:01	03/02/2014 12:06	1.58461	0.189966	0	1.35271	0
03/02/2014 12:06	03/02/2014 12:11	1.84455	0.0648053	0	1.38333	0
03/02/2014 12:11	03/02/2014 12:15	1.46744	0.0782441	0	1.43046	0
03/02/2014 12:15	03/02/2014 12:20	2.09033	0.198135	0	1.4701	0
03/02/2014 12:20	03/02/2014 12:25	2.03584	0.0857507	0	1.72262	0
03/02/2014 12:25	03/02/2014 12:29	2.38253	0.0777766	0.278306	1.42521	0
03/02/2014 12:29	03/02/2014 12:34	2.20664	0.225329	0	1.56944	0
03/02/2014 12:34	03/02/2014 12:39	2.17871	0.0161328	0.551888	1.66336	0
03/02/2014 12:39	03/02/2014 12:43	1.77188	0.153944	0	1.47109	0
03/02/2014 12:43	03/02/2014 12:48	1.99967	0.577981	0	1.44116	0
03/02/2014 12:48	03/02/2014 12:53	1.68043	0.455857	0	1.28818	0
03/02/2014 12:53	03/02/2014 12:57	1.36475	0.445073	0	1.40399	0
03/02/2014 12:57	03/02/2014 13:02	1.2243	0.177002	0	1.33927	0
03/02/2014 13:02	03/02/2014 13:07	1.464	0.099545	0	1.32246	0
03/02/2014 13:07	03/02/2014 13:11	1.16591	0.118629	0	1.44493	0
03/02/2014 13:11	03/02/2014 13:16	1.22482	0.0653326	0	1.42351	0
03/02/2014 13:16	03/02/2014 13:21	1.09165	0.103464	0	1.36112	0
03/02/2014 13:21	03/02/2014 13:25	1.18231	0.0776731	0	1.13495	0
03/02/2014 13:25	03/02/2014 13:30	1.71362	0	0.00936459	1.08009	0
03/02/2014 13:30	03/02/2014 13:35	2.41064	0	0.0302924	1.22831	0
03/02/2014 13:35	03/02/2014 13:39	2.5944	0	0.0288702	1.09447	0
03/02/2014 13:39	03/02/2014 13:44	2.23984	0	0.00376086	0.80278	0
03/02/2014 13:44	03/02/2014 13:49	1.42274	0	0	0.882942	0
03/02/2014 13:49	03/02/2014 13:53	1.17636	0.0143884	0	0.937356	0
03/02/2014 13:53	03/02/2014 13:58	1.37526	0	0.00262959	0.872275	0
03/02/2014 13:58	03/02/2014 14:03	1.35873	0	0	0.730102	0
03/02/2014 14:03	03/02/2014 14:07	1.45831	0	0	0.846746	0
03/02/2014 14:07	03/02/2014 14:12	1.4105	0	0	0.849111	0
03/02/2014 14:12	03/02/2014 14:17	0.896053	0	0	0.933736	0
03/02/2014 14:17	03/02/2014 14:21	0.894667	0	0.0033113	0.898354	0
03/02/2014 14:21	03/02/2014 14:26	1.14508	0	0	0.848685	0
03/02/2014 14:26	03/02/2014 14:31	1.18363	0	0	0.947944	0
03/02/2014 14:31	03/02/2014 14:35	1.15447	0	0	0.938218	0
03/02/2014 14:35	03/02/2014 14:40	0.865834	0.00340014	0.0176394	0.935947	0
03/02/2014 14:40	03/02/2014 14:45	0.873507	0	0.0221499	1.06322	0
03/02/2014 14:45	03/02/2014 14:49	0.831318	0	0	1.2342	0
03/02/2014 14:49	03/02/2014 14:54	0.806983	0.0470919	0	1.22142	0
03/02/2014 14:54	03/02/2014 14:59	0.725849	0.0820433	0	1.47978	0
03/02/2014 14:59	03/02/2014 15:03	0.961582	0.0304032	0	1.23066	0
03/02/2014 15:03	03/02/2014 15:08	0.708591	0.0460531	0	1.30993	0
