Time (UTC)	Time (Local)	Chl	NH4	NO3	Org	SO4
26/01/2014 17:28	26/01/2014 18:28	0.698819	3.77386	1.75331	16.6536	9.86103
26/01/2014 17:58	26/01/2014 18:58	0.72558	3.37317	1.82353	15.7458	8.93071
26/01/2014 18:27	26/01/2014 19:27	0.922947	3.24036	1.88822	17.5229	9.06171
26/01/2014 18:57	26/01/2014 19:57	1.03442	3.854	2.02904	26.5703	8.90969
26/01/2014 19:27	26/01/2014 20:27	1.08101	3.78549	2.41087	33.0388	9.36321
26/01/2014 19:56	26/01/2014 20:56	1.09733	3.58647	2.64529	29.7757	9.13793
26/01/2014 20:26	26/01/2014 21:26	1.09707	3.71358	2.14306	27.9359	9.09996
26/01/2014 20:55	26/01/2014 21:55	1.17875	3.89144	2.54298	28.3515	9.85559
26/01/2014 21:25	26/01/2014 22:25	1.03179	3.60941	2.35341	28.7078	9.24646
26/01/2014 21:54	26/01/2014 22:54	0.993282	3.23973	2.44545	29.8116	8.2675
26/01/2014 22:24	26/01/2014 23:24	1.06333	3.09265	2.36362	24.6803	7.35964
26/01/2014 22:53	26/01/2014 23:53	0.919929	3.04723	2.77617	26.3658	7.85416
26/01/2014 23:23	27/01/2014 0:23	0.811929	3.26115	2.38277	25.8197	8.16654
26/01/2014 23:52	27/01/2014 0:52	0.696643	3.85033	2.44853	23.6787	9.04475
27/01/2014 0:22	27/01/2014 1:22	0.606311	3.75249	2.22036	19.7767	9.60715
27/01/2014 0:52	27/01/2014 1:52	0.545649	4.05737	2.26551	17.203	10.3434
27/01/2014 1:21	27/01/2014 2:21	0.53969	4.16094	2.09005	16.325	10.4992
27/01/2014 1:51	27/01/2014 2:51	0.581571	3.6646	2.15991	14.5381	10.7129
27/01/2014 2:20	27/01/2014 3:20	0.47971	4.11602	2.27063	12.2286	10.8157
27/01/2014 2:50	27/01/2014 3:50	0.477717	4.40894	2.1409	12.0273	11.2166
27/01/2014 3:19	27/01/2014 4:19	0.466473	4.20433	2.20597	12.8116	11.824
27/01/2014 3:49	27/01/2014 4:49	0.4624	4.2634	2.15652	12.4035	11.8341
27/01/2014 4:18	27/01/2014 5:18	0.342383	4.6787	2.03524	12.5862	12.1157
27/01/2014 4:48	27/01/2014 5:48	0.332506	4.18155	2.19289	11.7234	11.1132
27/01/2014 5:18	27/01/2014 6:18	0.302954	3.70412	2.11719	10.5065	9.65399
27/01/2014 5:47	27/01/2014 6:47	0.193712	3.32003	2.10755	10.1894	8.80789
27/01/2014 6:17	27/01/2014 7:17	0.203875	3.17193	2.36832	12.0038	8.29628
27/01/2014 6:46	27/01/2014 7:46	0.216946	3.11154	2.3409	11.041	7.90996
27/01/2014 7:16	27/01/2014 8:16	0.310884	3.40274	2.36014	11.7879	7.77241
27/01/2014 7:45	27/01/2014 8:45	0.235723	3.19976	2.10884	11.8047	7.56014
27/01/2014 8:15	27/01/2014 9:15	0.341411	3.06832	2.47488	12.2939	8.01981
27/01/2014 8:44	27/01/2014 9:44	0.362006	3.41993	2.55148	15.4962	7.73163
27/01/2014 9:14	27/01/2014 10:14	0.38255	2.94706	2.51681	11.9737	7.29143
27/01/2014 9:43	27/01/2014 10:43	0.371437	3.19281	2.22755	10.7784	7.84437
27/01/2014 10:13	27/01/2014 11:13	0.345395	3.49816	2.26734	10.4996	8.32511
27/01/2014 10:43	27/01/2014 11:43	0.371645	3.42628	2.46667	12.8586	8.25308
27/01/2014 11:12	27/01/2014 12:12	0.297393	3.5159	2.15137	12.5962	8.51875
