PMF_m/z	HOA	BBOA	OOA
12	0.00241391	0	0
13	0.000915469	0.00243811	0.000392575
15	0.00436769	0	0.0440687
16	0.000981825	0.00996804	0.00466688
17	0.00615378	0.0622983	0.0291658
18	0.00817763	0.149166	0.0119625
24	0.000325868	0.00100676	0.000379164
25	0.00103614	0.0034889	0.00193604
26	0.00737997	0.0180392	0.0129206
27	0.0312741	0.0428265	0.0410635
29	0.0420798	0.09646	0.0875164
30	0.000926488	0.00212207	0.00192528
31	0.00154278	0.02387	0.0273623
37	0.00184695	0.00312211	0.00300657
38	0.00315699	0.0054105	0.00635886
41	0.0741411	0.0302085	0.0394558
42	0.0203512	0.0249277	0.0277505
43	0.101033	0.0715149	0.0774757
44	0.00817763	0.149166	0.0119625
45	0.00388321	0.0202177	0.0185151
48	0.000554189	0.000911727	0.00158323
49	0.000351088	0.000894233	0.000962537
50	0.00286882	0.00410505	0.00639723
51	0.00391646	0.00585643	0.0120132
52	0.00231723	0.00400575	0.00683135
53	0.00896182	0.00983095	0.0148416
54	0.00885688	0.0067513	0.00831381
55	0.0755063	0.0261208	0.0422505
56	0.0250711	0.00976504	0.0172163
57	0.0835528	0.0147557	0.038085
58	0.00776193	0.00722531	0.00638794
59	0.00214985	0.00465506	0.0045997
60	0.00122315	0.00997778	0.0375248
61	0.000758533	0.00255245	0.00646848
62	0.0011084	0.00182347	0.00316647
63	0.00251883	0.00295123	0.00765303
64	0.00318422	0.00351114	0.00674085
65	0.00956318	0.00637584	0.0121732
66	0.00322813	0.00308004	0.00578476
67	2.94E-02	0.00861117	0.0142556
68	0.0112754	0.00680845	0.0100958
69	0.0526278	0.0129693	0.026107
70	0.0154749	0.00549288	0.0103872
71	0.0462272	0.00851695	0.0152916
72	0.00366116	0.00269974	0.00374242
73	0.00130063	0.00682925	0.0213319
74	0.00174805	0.00308891	0.00642421
75	0.0013943	0.0020177	0.00412855
76	0.00174425	0.00254367	0.00450591
77	0.00842464	0.00649709	0.0155448
78	0.00348017	0.00290903	0.00707215
79	0.0153925	0.00688956	0.0122779
80	3.97E-03	0.00179797	0.00506023
81	0.0302056	0.00758506	0.0147543
82	0.0108059	0.00478853	0.00770631
83	0.0351869	0.00664347	0.0119962
84	0.00984765	0.00375907	0.00678269
85	0.0287817	0.00575872	0.0100405
86	0.00313864	0.00248973	0.0034301
87	0.00149849	0.00305442	0.00556395
88	0.000425019	0.00126668	0.00278607
89	0.00148658	0.00263274	0.00656993
90	0.000565039	0.00141525	0.00287676
91	0.0146299	0.00688724	0.0167735
92	0.00407662	0.00222596	0.00496465
93	0.0121297	0.00409847	0.00884864
94	0.00485593	0.002429	0.00680536
95	0.0306086	0.00654511	0.0152422
96	0.00801342	0.00390894	0.00669438
97	0.029003	0.00561882	0.0114601
98	0.00673006	0.00302613	0.00523677
99	0.0068592	0.00493176	0.00562746
100	0.00143755	0.00186161	0.00273588
