PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA
26/01/2014 17:28	26/01/2014 17:28	0.38	1.69	13.05
26/01/2014 17:58	26/01/2014 17:58	0.07	2.31	11.69
26/01/2014 18:27	26/01/2014 18:27	0.52	3.32	11.71
26/01/2014 18:57	26/01/2014 18:57	2.1	6.92	15.47
26/01/2014 19:27	26/01/2014 19:27	1.14	11.22	18.06
26/01/2014 19:56	26/01/2014 19:56	1.65	8.79	16.91
26/01/2014 20:26	26/01/2014 20:26	1.05	9.44	15.16
26/01/2014 20:55	26/01/2014 20:55	1.26	10.01	15.08
26/01/2014 21:25	26/01/2014 21:25	0.8	9.42	16.29
26/01/2014 21:54	26/01/2014 21:54	0.73	11.78	15.17
26/01/2014 22:24	26/01/2014 22:24	0.45	8.95	13.51
26/01/2014 22:53	26/01/2014 22:53	0	9.8	14.7
26/01/2014 23:23	26/01/2014 23:23	0.67	9.38	14.24
26/01/2014 23:52	26/01/2014 23:52	0.51	7.7	13.86
27/01/2014 0:22	27/01/2014 0:22	0	5.69	12.91
27/01/2014 0:52	27/01/2014 0:52	0	4.04	12.11
27/01/2014 1:21	27/01/2014 1:21	0	3.88	11.35
27/01/2014 1:51	27/01/2014 1:51	0	2.81	10.99
27/01/2014 2:20	27/01/2014 2:20	0	1.7	10.03
27/01/2014 2:50	27/01/2014 2:50	0	1.4	9.97
27/01/2014 3:19	27/01/2014 3:19	0	1.66	10.25
27/01/2014 3:49	27/01/2014 3:49	0.17	1.18	10.27
27/01/2014 4:18	27/01/2014 4:18	0	1.78	10.23
27/01/2014 4:48	27/01/2014 4:48	0	1.24	9.85
27/01/2014 5:18	27/01/2014 5:18	0.15	0.95	9.04
27/01/2014 5:47	27/01/2014 5:47	0.14	0.59	8.8
27/01/2014 6:17	27/01/2014 6:17	0.19	1.86	9.57
27/01/2014 6:46	27/01/2014 6:46	0.37	1.04	8.9
